sale_id,date_id,project_id,unit_type_id,customer_id,channel_id,area_sqm,price_per_sqm,contract_value,down_payment,remaining_balance,down_payment_pct,payment_plan,commission_pct,commission_amount,contract_status,is_investor_buyer
SL00013,20240913,PJ04,UT03,CUS0102,CH01,144.7,39376,5698000.0,1140000.0,4558000.0,20.0,10-Year Installment ,0.022,125400.0,Signed,True
SL00014,20230623,PJ04,UT04,CUS0026,CH01,236.9,30099,7130000.0,1426000.0,5704000.0,20.0,10-Year Installment,0.035,249600.0,Signed,False
SL00015,20230529,PJ01,UT06,CUS0057,CH02,319.4,35164,11231000.0,2246000.0,8985000.0,20.0,5-Year Installment,0.0,0.0,Signed,False
SL00016,20230530,PJ02,UT04,CUS0012,CH02,200.7,33008,6625000.0,1656000.0,4969000.0,,5-Year Installment,0.0,0.0,SIGNED,False
SL00017,20230825,PJ05,UT02,CUS0145,CH01,88.0,39486,3475000.0,521000.0,2954000.0,15.0,5-Year Installment,,125100.0,Signed,False
SL00018,20240122,PJ06,UT04,CUS0070,CH01,192.9,36766,7092000.0,1418000.0,5674000.0,20.0,5-Year Installment,0.023,163100.0,Signed,False
SL00019,20231121,PJ09,UT08,CUS0080,CH02,186.7,57769,10785000.0,1078000.0,9707000.0,10.0,10-Year Installment,0.0,0.0,Signed,True
SL00020,20230817,PJ04,UT03,CUS0136,CH04,126.2,31700,4001000.0,400000.0,3601000.0,10.0,5-Year Installment,0.0,0.0,Signed,False
SL00021,20240403,PJ01,UT07,CUS0019,CH03,516.6,36165,18683000.0,1868000.0,16815000.0,10.0,7-Year Installment,0.0,0.0,Signed,False
SL00022,20230513,PJ07,UT03,CUS0126,CH01,133.3,41977,5596000.0,560000.0,5036000.0,10.0,Cash,0.036,201500.0,Signed,False
SL00023,20230817,PJ05,UT08,CUS0058,CH01,143.5,48957,7025000.0,1054000.0,0.0,15.0,10-Year Installment,0.037,259900.0,UNDER REVIEW,False
SL00024,20231008,PJ03,UT08,CUS0051,CH01,232.1,44254,0.0,0.0,0.0,20.0,7-Year Installment,0.035,0.0,Cancelled,False
SL00025,20231206,PJ01,UT06,CUS0023,CH01,287.3,34805,9999000.0,1500000.0,8499000.0,15.0,5-Year Installment,0.031,310000.0,Signed,True
SL00026,20240813,PJ05,UT03,CUS0078,CH03,137.0,45231,6197000.0,620000.0,5577000.0,10.0,7-Year Installment,0.0,0.0,Signed,False
SL00027,20230612,PJ01,UT07,CUS0104,CH02,442.4,28365,12549000.0,2510000.0,10039000.0,20.0,10-Year Installment,0.0,0.0,Signed,False
SL00028,20240113,PJ09,UT08,CUS0049,CH01,112.4,68486,7698000.0,1924000.0,5774000.0,25.0,5-Year Installment ,0.033,254000.0,Signed,False
SL00029,20240319,PJ03,UT03,CUS0144,CH03,145.5,41748,6074000.0,607000.0,5467000.0,10.0,5-Year Installment,0.0,0.0,Signed,False
SL00030,20230219,PJ07,UT03,CUS0063,CH02,121.3,40330,4892000.0,1223000.0,3669000.0,25.0,5-Year Installment,0.0,0.0,SIGNED,False
SL00031,20240331,PJ09,UT08,CUS0124,CH01,185.7,73402,13631000.0,3408000.0,10223000.0,25.0,5-Year Installment,0.026,354400.0,Signed,False
SL00032,20230520,PJ03,UT04,CUS0115,CH05,203.0,33428,6786000.0,679000.0,6107000.0,10.0,5-Year Installment,0.011,74600.0,Signed,False
SL00033,20230226,PJ05,UT02,CUS0137,CH03,79.4,39452,3132000.0,626000.0,2506000.0,20.0,7-Year Installment,0.0,0.0,Signed,False
SL00034,20241201,PJ05,UT05,CUS0128,CH02,337.0,58315,19652000.0,3930000.0,15722000.0,20.0,5-Year Installment,0.0,0.0,Signed,False
SL00035,20241211,PJ05,UT02,CUS0068,CH01,84.9,46787,3972000.0,993000.0,2979000.0,25.0,7-Year Installment,0.028,111200.0,Signed,False
SL00036,20240801,PJ08,UT02,CUS0024,CH01,80.8,50952,4117000.0,1029000.0,0.0,25.0,10-Year Installment,0.033,135900.0,Under Review,False
SL00037,20230730,PJ07,UT01,CUS0019,CH01,49.0,48545,2379000.0,595000.0,1784000.0,,5-Year Installment ,,80900.0,Signed,False
SL00038,20230413,PJ07,UT01,CUS0044,CH01,35.3,49959,1764000.0,529000.0,1235000.0,30.0,7-Year Installment,0.032,56400.0,Signed,True
SL00039,20240530,PJ06,UT06,CUS0005,CH01,288.3,33797,9744000.0,2436000.0,7308000.0,25.0,10-Year Installment,0.029,282600.0,Signed,False
SL00040,20231126,PJ09,UT08,CUS0079,CH05,281.9,60415,17031000.0,4258000.0,12773000.0,25.0,5-Year Installment,0.013,221400.0,Signed,False
SL00041,20230412,PJ03,UT03,CUS0118,CH02,135.9,35842,4871000.0,974000.0,3897000.0,20.0,7-Year Installment,0.0,0.0,Signed,False
SL00042,20231229,PJ10,UT02,CUS0039,CH02,68.5,29341,2010000.0,502000.0,1508000.0,25.0,Cash,,0.0,Signed,True
SL00043,20230130,PJ09,UT08,CUS0039,CH01,225.6,58373,13169000.0,3951000.0,9218000.0,30.0,10-Year Installment,0.036,474100.0,Signed,True
SL00044,20241106,PJ05,UT05,CUS0109,CH01,332.3,56233,18686000.0,5606000.0,13080000.0,30.0,5-Year Installment,0.026,485800.0,Signed,True
SL00045,20230711,PJ07,UT02,CUS0047,CH03,75.9,46434,3524000.0,352000.0,3172000.0,10.0,5-Year Installment,0.0,0.0,Signed,True
SL00046,20240513,PJ09,UT08,CUS0111,CH01,167.0,73716,12311000.0,1231000.0,11080000.0,,5-Year Installment,0.023,283200.0,Signed,False
SL00047,20230830,PJ10,UT03,CUS0140,CH02,135.6,28882,3916000.0,587000.0,3329000.0,15.0,7-Year Installment,0.0,0.0,Signed,True
SL00048,20240123,PJ07,UT06,CUS0036,CH04,250.1,39603,0.0,0.0,0.0,25.0,Cash,0.0,0.0,Cancelled,False
SL00049,20240210,PJ03,UT08,CUS0097,CH02,284.5,56255,16005000.0,2401000.0,13604000.0,15.0,10-Year Installment,0.0,0.0,Signed,False
SL00050,20230531,PJ05,UT05,CUS0027,CH03,339.7,49370,16771000.0,4193000.0,12578000.0,25.0,Cash,0.0,0.0,Signed,True
SL00051,20241214,PJ02,UT03,CUS0017,CH02,153.9,43782,6738000.0,1011000.0,5727000.0,15.0,7-Year Installment,,0.0,Signed,False
SL00052,20240717,PJ08,UT02,CUS0076,CH02,79.4,50847,4037000.0,404000.0,3633000.0,10.0,7-Year Installment,0.0,0.0,Signed,False
SL00053,20241125,PJ04,UT03,CUS0103,CH05,116.9,39575,4626000.0,463000.0,4163000.0,10.0,7-Year Installment,0.015,69400.0,SIGNED,False
SL00054,20241028,PJ06,UT03,CUS0088,CH04,117.1,39662,4644000.0,929000.0,3715000.0,20.0,10-Year Installment,0.0,0.0,Signed,False
SL00055,20240323,PJ03,UT08,CUS0033,CH01,261.6,53919,14105000.0,4232000.0,9873000.0,30.0,5-Year Installment,0.023,324400.0,Signed,False
SL00056,20241114,PJ09,UT08,CUS0032,CH01,200.4,67717,13570000.0,1357000.0,12213000.0,10.0,7-Year Installment,0.021,285000.0,Signed,False
SL00057,20230405,PJ08,UT02,CUS0029,CH04,85.5,43296,3702000.0,555000.0,3147000.0,15.0,10-Year Installment,0.0,0.0,Signed,False
SL00058,20230612,PJ07,UT03,CUS0122,CH01,134.0,41191,5520000.0,1104000.0,4416000.0,20.0,7-Year Installment,0.039,215300.0,Signed,True
SL00059,20230208,PJ05,UT03,CUS0120,CH02,156.1,37351,5830000.0,874000.0,4956000.0,15.0,5-Year Installment,0.0,0.0,Signed,False
SL00060,20230909,PJ06,UT06,CUS0046,CH02,309.1,27976,8647000.0,2594000.0,6053000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00061,20231024,PJ03,UT02,CUS0106,CH02,71.3,35693,2545000.0,636000.0,1909000.0,,Cash,0.0,0.0,Signed,False
SL00062,20230804,PJ04,UT04,CUS0112,CH05,205.1,30653,6287000.0,1886000.0,4401000.0,30.0,5-Year Installment,0.019,119500.0,Signed,False
SL00063,20240911,PJ05,UT04,CUS0071,CH04,175.8,40227,7072000.0,1061000.0,6011000.0,15.0,Cash,0.0,0.0,Signed,False
SL00064,20231002,PJ04,UT04,CUS0138,CH02,237.9,32188,7658000.0,2297000.0,5361000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00065,20230720,PJ07,UT06,CUS0041,CH04,333.7,35279,11773000.0,2355000.0,9418000.0,20.0,5-Year Installment,0.0,0.0,Signed,False
SL00066,20240207,PJ10,UT04,CUS0109,CH04,239.0,32872,7856000.0,1964000.0,5892000.0,25.0,10-Year Installment,0.0,0.0,Signed,True
SL00067,20230427,PJ03,UT04,CUS0024,CH02,219.5,30808,6762000.0,1014000.0,5748000.0,15.0,7-Year Installment,0.0,0.0,Signed,False
SL00068,20240729,PJ07,UT02,CUS0076,CH03,89.0,51473,4581000.0,458000.0,4123000.0,10.0,Cash,0.0,0.0,Signed,False
SL00069,20230306,PJ04,UT04,CUS0013,CH01,202.1,29552,5972000.0,896000.0,5076000.0,15.0,5-Year Installment,0.031,185100.0,Signed,True
SL00070,20241224,PJ02,UT04,CUS0014,CH01,220.7,38407,8476000.0,2543000.0,5933000.0,30.0,10-Year Installment,0.021,178000.0,Signed,False
SL00071,20240804,PJ03,UT03,CUS0048,CH05,144.4,40942,0.0,0.0,0.0,20.0,Cash,0.015,0.0,Cancelled,False
SL00072,20230612,PJ03,UT04,CUS0039,CH01,193.5,33208,6426000.0,643000.0,5783000.0,10.0,7-Year Installment,0.039,250600.0,Signed,True
SL00073,20230105,PJ03,UT08,CUS0067,CH03,256.9,45421,11669000.0,3501000.0,8168000.0,,7-Year Installment,0.0,0.0,Signed,False
SL00074,20240901,PJ05,UT05,CUS0137,CH03,290.6,56953,16551000.0,3310000.0,13241000.0,20.0,10-Year Installment,0.0,0.0,Signed,False
SL00075,20240617,PJ07,UT03,CUS0090,CH02,153.9,49006,7542000.0,754000.0,6788000.0,10.0,10-Year Installment,0.0,0.0,Signed,False
SL00076,20240706,PJ09,UT08,CUS0149,CH01,278.7,69507,19372000.0,5812000.0,13560000.0,30.0,5-Year Installment,0.024,464900.0,Signed,False
SL00077,20240804,PJ09,UT08,CUS0004,CH01,295.8,69381,20523000.0,5131000.0,15392000.0,25.0,5-Year Installment,0.029,595200.0,Signed,False
SL00078,20230305,PJ10,UT02,CUS0098,CH02,78.1,30419,2376000.0,238000.0,2138000.0,10.0,5-Year Installment,0.0,0.0,Signed,True
SL00079,20231003,PJ04,UT05,CUS0136,CH01,219.0,42606,9331000.0,2799000.0,6532000.0,30.0,10-Year Installment,0.023,214600.0,Signed,False
SL00080,20230407,PJ01,UT07,CUS0088,CH05,585.1,28939,16932000.0,5080000.0,11852000.0,30.0,7-Year Installment,,186300.0,Signed,False
SL00081,20241006,PJ04,UT05,CUS0008,CH04,220.9,50456,11146000.0,2786000.0,8360000.0,25.0,Cash,0.0,0.0,Signed,False
SL00082,20240412,PJ06,UT05,CUS0110,CH01,256.5,50662,12995000.0,1300000.0,11695000.0,10.0,7-Year Installment,0.035,454800.0,Signed,False
SL00083,20230812,PJ08,UT02,CUS0064,CH02,69.6,41764,2907000.0,291000.0,2616000.0,10.0,10-Year Installment,0.0,0.0,Signed,True
SL00084,20230225,PJ01,UT07,CUS0075,CH03,523.1,30167,15780000.0,2367000.0,13413000.0,15.0,Cash,0.0,0.0,Signed,True
SL00085,20230802,PJ07,UT02,CUS0041,CH04,84.3,45391,3826000.0,1148000.0,2678000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00086,20230909,PJ02,UT08,CUS0070,CH05,256.1,45941,0.0,0.0,0.0,10.0,5-Year Installment,0.02,0.0,Cancelled,False
SL00087,20240706,PJ05,UT03,CUS0011,CH01,115.4,42668,4924000.0,492000.0,4432000.0,10.0,10-Year Installment,0.034,167400.0,Signed,False
SL00088,20240511,PJ07,UT02,CUS0090,CH01,65.4,52920,3461000.0,1038000.0,2423000.0,30.0,7-Year Installment,0.028,96900.0,Signed,False
SL00089,20240911,PJ07,UT01,CUS0111,CH03,50.1,56016,2806000.0,281000.0,2525000.0,10.0,7-Year Installment,0.0,0.0,Signed,False
SL00090,20231215,PJ01,UT06,CUS0140,CH03,257.8,35148,9061000.0,2718000.0,6343000.0,30.0,5-Year Installment,0.0,0.0,Signed,True
SL00091,20230410,PJ05,UT05,CUS0056,CH02,266.8,49482,13202000.0,1320000.0,11882000.0,10.0,5-Year Installment,,0.0,Signed,False
SL00092,20240623,PJ06,UT06,CUS0049,CH01,267.1,33617,8979000.0,2245000.0,6734000.0,25.0,5-Year Installment,0.028,251400.0,Signed,False
SL00093,20240728,PJ01,UT07,CUS0144,CH02,395.5,35294,13959000.0,4188000.0,9771000.0,30.0,7-Year Installment,0.0,0.0,Signed,False
SL00094,20240223,PJ10,UT04,CUS0061,CH02,219.5,29838,6549000.0,1310000.0,5239000.0,20.0,7-Year Installment,0.0,0.0,Signed,False
SL00095,20240804,PJ06,UT04,CUS0038,CH01,211.7,36406,7707000.0,1927000.0,5780000.0,25.0,7-Year Installment,0.034,262000.0,Signed,False
SL00096,20231228,PJ05,UT05,CUS0125,CH01,310.4,45765,14205000.0,1420000.0,12785000.0,10.0,7-Year Installment,0.022,312500.0,Signed,False
SL00097,20240120,PJ09,UT08,CUS0020,CH01,183.2,68455,12541000.0,1254000.0,11287000.0,10.0,5-Year Installment,0.032,401300.0,Signed,False
SL00098,20231015,PJ07,UT03,CUS0031,CH02,132.8,43595,5789000.0,868000.0,4921000.0,15.0,7-Year Installment,0.0,0.0,Signed,True
SL00099,20230122,PJ04,UT02,CUS0092,CH02,65.3,33827,2209000.0,552000.0,1657000.0,25.0,7-Year Installment,0.0,0.0,Signed,False
SL00100,20230421,PJ08,UT03,CUS0043,CH02,159.4,39165,6243000.0,624000.0,5619000.0,10.0,Cash,0.0,0.0,Signed,False
SL00101,20230127,PJ05,UT03,CUS0041,CH01,129.6,38366,4972000.0,746000.0,4226000.0,15.0,10-Year Installment,0.04,198900.0,Signed,False
SL00102,20240510,PJ08,UT02,CUS0122,CH02,75.3,49378,3718000.0,372000.0,3346000.0,10.0,10-Year Installment ,0.0,0.0,Signed,True
SL00103,20230804,PJ08,UT03,CUS0030,CH02,147.2,39402,5800000.0,1740000.0,4060000.0,30.0,10-Year Installment,0.0,0.0,Signed,False
SL00104,20240108,PJ06,UT05,CUS0055,CH03,313.5,50245,15752000.0,1575000.0,14177000.0,10.0,5-Year Installment,0.0,0.0,Signed,False
SL00105,20241105,PJ04,UT02,CUS0074,CH02,77.6,41063,3186000.0,478000.0,2708000.0,15.0,10-Year Installment,0.0,0.0,Signed,False
SL00106,20230720,PJ02,UT03,CUS0128,CH01,150.8,35699,5383000.0,538000.0,4845000.0,10.0,10-Year Installment,0.022,118400.0,Signed,False
SL00107,20231107,PJ04,UT04,CUS0131,CH03,181.6,30604,5558000.0,1112000.0,4446000.0,20.0,10-Year Installment,0.0,0.0,Signed,False
SL00108,20240724,PJ01,UT06,CUS0019,CH02,341.6,40287,13762000.0,2064000.0,11698000.0,15.0,5-Year Installment,0.0,0.0,Signed,False
SL00109,20230706,PJ03,UT08,CUS0001,CH01,170.1,43717,7436000.0,1859000.0,5577000.0,25.0,7-Year Installment,0.021,156200.0,Signed,False
SL00110,20230308,PJ05,UT04,CUS0049,CH02,205.8,33943,6985000.0,1746000.0,5239000.0,25.0,5-Year Installment ,0.0,0.0,SIGNED,False
SL00111,20230816,PJ05,UT04,CUS0015,CH05,195.2,36194,7065000.0,706000.0,6359000.0,10.0,5-Year Installment,0.019,134200.0,Signed,False
SL00112,20230513,PJ02,UT04,CUS0022,CH01,178.4,35201,6280000.0,942000.0,5338000.0,15.0,10-Year Installment,0.021,131900.0,Signed,False
SL00113,20241119,PJ05,UT05,CUS0058,CH02,248.6,55814,13875000.0,2081000.0,11794000.0,15.0,5-Year Installment,0.0,0.0,Signed,False
SL00114,20240827,PJ05,UT04,CUS0080,CH03,226.2,42461,9605000.0,960000.0,8645000.0,10.0,7-Year Installment,0.0,0.0,Signed,True
SL00115,20240421,PJ05,UT02,CUS0029,CH02,77.0,48819,3759000.0,752000.0,3007000.0,20.0,7-Year Installment,0.0,0.0,Signed,False
SL00116,20241011,PJ04,UT02,CUS0017,CH01,79.6,40904,3256000.0,814000.0,2442000.0,25.0,5-Year Installment,0.034,110700.0,Signed,False
SL00117,20240824,PJ05,UT04,CUS0089,CH01,226.0,42439,9591000.0,959000.0,8632000.0,10.0,7-Year Installment,0.026,249400.0,SIGNED,False
SL00118,20230601,PJ04,UT02,CUS0100,CH03,68.7,34817,2392000.0,598000.0,1794000.0,25.0,10-Year Installment,0.0,0.0,Signed,True
SL00119,20240915,PJ07,UT01,CUS0033,CH02,43.8,55539,2433000.0,730000.0,1703000.0,30.0,7-Year Installment,0.0,0.0,Signed,False
SL00120,20240212,PJ07,UT03,CUS0008,CH01,157.5,48020,7563000.0,1134000.0,6429000.0,15.0,5-Year Installment,0.028,211800.0,Signed,False
SL00121,20240827,PJ05,UT02,CUS0105,CH02,71.7,46014,3299000.0,495000.0,2804000.0,15.0,Cash,0.0,0.0,Signed,False
SL00122,20241029,PJ05,UT08,CUS0146,CH04,265.3,57940,15371000.0,3843000.0,11528000.0,25.0,10-Year Installment,0.0,0.0,Signed,False
SL00123,20230903,PJ10,UT03,CUS0125,CH01,137.0,29840,4088000.0,818000.0,3270000.0,20.0,5-Year Installment,0.035,143100.0,Signed,False
SL00124,20230402,PJ03,UT04,CUS0126,CH02,202.8,31124,6312000.0,1894000.0,4418000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00125,20230705,PJ05,UT02,CUS0091,CH01,79.0,38530,3044000.0,609000.0,2435000.0,20.0,10-Year Installment,0.024,73100.0,Signed,False
SL00126,20231015,PJ08,UT03,CUS0013,CH02,144.7,37330,5402000.0,1621000.0,3781000.0,30.0,7-Year Installment,0.0,0.0,Signed,True
SL00127,20240805,PJ07,UT01,CUS0090,CH02,48.0,59017,2833000.0,708000.0,2125000.0,25.0,Cash,0.0,0.0,Signed,False
SL00128,20241004,PJ05,UT08,CUS0113,CH02,238.6,60791,14505000.0,2176000.0,12329000.0,15.0,Cash,0.0,0.0,Signed,True
SL00129,20230108,PJ08,UT03,CUS0097,CH01,144.9,39050,5658000.0,566000.0,5092000.0,10.0,7-Year Installment,0.023,130100.0,Signed,False
SL00130,20240110,PJ04,UT05,CUS0108,CH01,259.2,51670,13393000.0,4018000.0,9375000.0,30.0,7-Year Installment,0.027,361600.0,Signed,False
SL00131,20231112,PJ03,UT08,CUS0123,CH01,167.0,45613,7617000.0,1523000.0,6094000.0,20.0,10-Year Installment,0.032,243700.0,Signed,True
SL00132,20230701,PJ04,UT04,CUS0004,CH01,184.2,31762,5851000.0,585000.0,5266000.0,10.0,7-Year Installment,0.022,128700.0,Signed,False
SL00133,20230501,PJ08,UT03,CUS0032,CH02,135.0,38540,5203000.0,780000.0,4423000.0,15.0,7-Year Installment,0.0,0.0,Signed,False
SL00134,20230918,PJ04,UT05,CUS0024,CH05,326.8,43184,14113000.0,2117000.0,11996000.0,15.0,7-Year Installment,0.016,225800.0,Signed,False
SL00135,20241128,PJ04,UT04,CUS0039,CH03,196.1,37194,7294000.0,1094000.0,6200000.0,15.0,10-Year Installment,0.0,0.0,Signed,True
SL00136,20230907,PJ06,UT03,CUS0063,CH01,148.5,34046,5056000.0,1264000.0,3792000.0,25.0,7-Year Installment,,187100.0,Signed,False
SL00137,20240117,PJ09,UT08,CUS0141,CH05,125.5,73175,9183000.0,2296000.0,6887000.0,25.0,5-Year Installment,0.016,146900.0,Signed,True
SL00138,20240615,PJ03,UT02,CUS0101,CH04,85.0,43903,3732000.0,1120000.0,0.0,30.0,10-Year Installment,0.0,0.0,Under Review,False
SL00139,20231006,PJ01,UT07,CUS0131,CH01,465.3,28424,13226000.0,3968000.0,9258000.0,30.0,5-Year Installment,0.031,410000.0,Signed,False
SL00140,20241201,PJ08,UT03,CUS0099,CH01,142.8,46853,6691000.0,1004000.0,5687000.0,15.0,10-Year Installment,0.02,133800.0,Signed,True
SL00141,20241121,PJ07,UT06,CUS0115,CH03,290.0,42320,12273000.0,3682000.0,8591000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00142,20230722,PJ05,UT04,CUS0042,CH01,172.0,36152,6218000.0,1554000.0,4664000.0,,Cash,0.031,192800.0,Signed,True
SL00143,20231230,PJ05,UT05,CUS0049,CH03,317.0,45873,14542000.0,3636000.0,10906000.0,25.0,10-Year Installment,0.0,0.0,Signed,False
SL00144,20230823,PJ04,UT03,CUS0133,CH01,127.4,33615,4283000.0,642000.0,3641000.0,15.0,10-Year Installment,0.032,137100.0,Signed,False
SL00145,20230813,PJ06,UT05,CUS0115,CH03,243.4,39796,9686000.0,2906000.0,6780000.0,30.0,Cash,0.0,0.0,Signed,False
SL00146,20230201,PJ01,UT06,CUS0030,CH04,328.5,35386,11624000.0,1744000.0,9880000.0,15.0,5-Year Installment,0.0,0.0,Signed,False
SL00147,20240401,PJ04,UT03,CUS0038,CH05,126.7,38134,4832000.0,1208000.0,3624000.0,25.0,10-Year Installment,0.011,53200.0,Signed,False
SL00148,20240103,PJ04,UT04,CUS0071,CH01,209.9,37857,7946000.0,1192000.0,6754000.0,15.0,7-Year Installment,0.026,206600.0,Signed,False
SL00149,20230214,PJ03,UT02,CUS0031,CH01,73.6,36409,2680000.0,536000.0,2144000.0,,10-Year Installment,0.04,107200.0,Signed,True
SL00150,20230719,PJ07,UT02,CUS0063,CH01,66.4,43924,2917000.0,729000.0,2188000.0,25.0,7-Year Installment,0.034,99200.0,Signed,False
SL00151,20241106,PJ03,UT03,CUS0014,CH02,117.3,39572,4642000.0,1393000.0,3249000.0,30.0,Cash,0.0,0.0,Signed,False
SL00152,20230702,PJ07,UT02,CUS0141,CH01,71.4,46602,3327000.0,665000.0,2662000.0,20.0,5-Year Installment,0.024,79800.0,Signed,True
SL00153,20230430,PJ06,UT03,CUS0080,CH02,130.3,33687,4389000.0,439000.0,3950000.0,10.0,10-Year Installment,0.0,0.0,Signed,True
SL00154,20231226,PJ06,UT04,CUS0023,CH01,188.8,30258,5713000.0,857000.0,4856000.0,15.0,5-Year Installment,0.026,148500.0,Signed,True
SL00155,20241223,PJ05,UT03,CUS0089,CH01,124.2,45460,5646000.0,565000.0,0.0,10.0,7-Year Installment,0.025,141200.0,Under Review,False
SL00156,20230715,PJ05,UT08,CUS0005,CH04,52.2,50229,2622000.0,787000.0,1835000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00157,20240521,PJ04,UT04,CUS0049,CH01,201.3,35227,7091000.0,1418000.0,5673000.0,20.0,10-Year Installment,0.023,163100.0,Signed,False
SL00158,20240728,PJ03,UT02,CUS0072,CH01,68.1,43091,2934000.0,880000.0,2054000.0,30.0,10-Year Installment,,108600.0,Signed,False
SL00159,20230712,PJ05,UT03,CUS0017,CH02,151.5,38239,5793000.0,1448000.0,4345000.0,25.0,Cash,0.0,0.0,Signed,False
SL00160,20240705,PJ01,UT07,CUS0141,CH01,378.3,34976,13231000.0,1323000.0,11908000.0,10.0,5-Year Installment,0.031,410200.0,Signed,True
SL00161,20231009,PJ01,UT07,CUS0097,CH03,490.4,29294,14366000.0,4310000.0,10056000.0,30.0,7-Year Installment,0.0,0.0,Signed,False
SL00162,20240420,PJ01,UT06,CUS0074,CH03,294.7,41812,12322000.0,2464000.0,9858000.0,,7-Year Installment,0.0,0.0,Signed,False
SL00163,20240421,PJ04,UT02,CUS0125,CH02,78.7,40218,3165000.0,633000.0,2532000.0,20.0,7-Year Installment,0.0,0.0,Signed,False
SL00164,20240131,PJ09,UT08,CUS0053,CH02,276.8,73135,20244000.0,3037000.0,0.0,15.0,7-Year Installment,0.0,0.0,Under Review,False
SL00165,20230318,PJ05,UT02,CUS0134,CH02,70.3,38693,2720000.0,680000.0,2040000.0,25.0,5-Year Installment,0.0,0.0,Signed,False
SL00166,20240916,PJ05,UT04,CUS0105,CH03,193.4,39610,7661000.0,766000.0,6895000.0,10.0,5-Year Installment,0.0,0.0,Signed,False
SL00167,20230905,PJ05,UT05,CUS0120,CH01,254.1,48871,12418000.0,1863000.0,10555000.0,15.0,10-Year Installment,0.039,484300.0,Signed,False
SL00168,20230607,PJ08,UT02,CUS0129,CH01,81.1,40430,0.0,0.0,0.0,30.0,Cash,0.022,0.0,Cancelled,False
SL00169,20230204,PJ09,UT08,CUS0148,CH03,145.5,62699,9123000.0,2281000.0,6842000.0,25.0,7-Year Installment,0.0,0.0,Signed,False
SL00170,20240318,PJ09,UT08,CUS0121,CH02,137.1,70503,9666000.0,2900000.0,6766000.0,30.0,10-Year Installment,0.0,0.0,Signed,False
SL00171,20240525,PJ03,UT04,CUS0065,CH02,226.7,36267,8222000.0,1644000.0,6578000.0,,7-Year Installment ,0.0,0.0,Signed,False
SL00172,20230115,PJ06,UT05,CUS0111,CH01,227.2,41000,9315000.0,1863000.0,7452000.0,20.0,7-Year Installment,0.022,204900.0,SIGNED,False
SL00173,20240111,PJ04,UT04,CUS0094,CH01,178.9,37250,6664000.0,1333000.0,5331000.0,20.0,5-Year Installment,0.025,166600.0,Signed,False
SL00174,20230704,PJ05,UT05,CUS0063,CH03,237.7,48179,11452000.0,3436000.0,8016000.0,30.0,5-Year Installment,0.0,0.0,Signed,False
SL00175,20240430,PJ02,UT08,CUS0133,CH05,122.8,57462,7056000.0,1411000.0,5645000.0,20.0,10-Year Installment,0.017,120000.0,SIGNED,False
SL00176,20230523,PJ01,UT06,CUS0116,CH03,376.7,32509,0.0,0.0,0.0,25.0,5-Year Installment,0.0,0.0,Cancelled,True
