booking_id,date_id,advertiser_id,platform_id,format_id,ad_medium,duration_days,gross_revenue_egp,discount_pct,net_revenue_egp,impressions_k,booking_status
BK00025,20211007,ADV0039,PF05,AF06,Digital,14.0,73300.0,0.01,72600.0,611.1,Confirmed
BK00026,20230929,ADV0034,PF04,AF07,Digital,60.0,618800.0,0.065,578600.0,453.1,Confirmed
BK00027,20200317,ADV0015,PF04,AF07,Digital ,60.0,0.0,0.058,0.0,327.1,Cancelled
BK00028,20220203,ADV0052,PF02,AF01,Print,1.0,64100.0,0.026,62400.0,,Confirmed
BK00029,20220722,ADV0023,PF04,AF10,Digital,1.0,23900.0,0.054,22600.0,582.7,Confirmed
BK00030,20190412,ADV0025,PF01,AF02,Print,1.0,22100.0,0.033,21400.0,,UNDER REVIEW
BK00031,20220902,ADV0099,PF03,AF02,Print,1.0,24700.0,0.043,23600.0,,Confirmed
BK00032,20200110,ADV0023,PF05,AF06,Digital,7.0,43000.0,0.025,41900.0,621.3,Under Review
BK00033,20190516,ADV0091,PF01,AF03,Print,1.0,24100.0,0.065,22500.0,,Confirmed
BK00034,20240921,ADV0048,PF05,AF12,Digital,14.0,110900.0,0.029,107700.0,685.8,Confirmed
BK00035,20241027,ADV0040,PF04,AF10,Digital,1.0,42200.0,0.064,39500.0,359.3,Confirmed
BK00036,20231115,ADV0092,PF05,AF06,Digital,14.0,0.0,0.013,0.0,524.3,Cancelled
BK00037,20201107,ADV0042,PF04,AF06,Digital ,,115200.0,,101400.0,355.4,Under Review
BK00038,20190806,ADV0088,PF05,AF06,Digital,7.0,47500.0,0.023,46400.0,60.7,Confirmed
BK00039,20230212,ADV0004,PF05,AF12,Digital,21.0,138500.0,0.024,135200.0,736.3,Confirmed
BK00040,20210831,ADV0070,PF04,AF10,Digital,1.0,21700.0,0.042,20800.0,745.6,Under Review
BK00041,20191006,ADV0055,PF01,AF01,Print,1.0,53200.0,0.041,51000.0,,Confirmed
BK00042,20211223,ADV0057,PF01,AF03,Print,1.0,26600.0,,24600.0,,Confirmed
BK00043,20190321,ADV0055,PF01,AF02,Print,1.0,27900.0,0.056,26300.0,,Under Review
BK00044,20240607,ADV0015,PF04,AF07,Digital,14.0,245300.0,0.065,229400.0,590.6,Confirmed
BK00045,20200721,ADV0015,PF04,AF07,Digital,30.0,252400.0,0.025,246100.0,377.4,Confirmed
BK00046,20221224,ADV0089,PF01,AF01,Print,,105800.0,0.124,92700.0,,Under Review
BK00047,20201121,ADV0053,PF04,AF11,Digital,1.0,5200.0,0.013,5100.0,434.6,Confirmed
BK00048,20220218,ADV0047,PF01,AF02,Print,1.0,55200.0,0.074,51100.0,,Under Review
BK00049,20220412,ADV0020,PF05,AF11,Digital,1.0,9000.0,0.144,7700.0,697.9,Confirmed
BK00050,20200214,ADV0001,PF01,AF03,Print,1.0,13200.0,0.075,12200.0,,Under Review
BK00051,20241104,ADV0052,PF01,AF01,Print,1.0,115400.0,,107900.0,,Under Review
BK00052,20230905,ADV0090,PF06,AF09,Digital,30.0,544500.0,0.107,486200.0,216.7,Confirmed
BK00053,20240829,ADV0054,PF04,AF12,Digital,30.0,169100.0,0.044,161700.0,488.8,UNDER REVIEW
BK00054,20240509,ADV0014,PF04,AF11,Digital,1.0,13900.0,0.119,12200.0,684.9,Confirmed
BK00055,20220807,ADV0037,PF05,AF06,Digital,30.0,161800.0,0.017,159000.0,501.2,Confirmed
BK00056,20240711,ADV0044,PF05,AF06,Digital,7.0,81000.0,0.005,80600.0,665.1,Confirmed
BK00057,20190711,ADV0091,PF02,AF05,Print,1.0,1000.0,0.098,900.0,,Confirmed
BK00058,20200310,ADV0091,PF04,AF12,Digital,21.0,99500.0,0.146,85000.0,741.2,Under Review
BK00059,20190410,ADV0013,PF03,AF02,Print,1.0,0.0,0.095,0.0,,Cancelled
BK00060,20201217,ADV0047,PF01,AF02,Print,1.0,38200.0,0.075,35300.0,,Confirmed
BK00061,20210427,ADV0054,PF01,AF02,Print,,24200.0,0.04,23200.0,,Confirmed
BK00062,20200825,ADV0020,PF01,AF03,Print,1.0,19500.0,0.136,16800.0,,Confirmed
BK00063,20231224,ADV0064,PF04,AF10,Digital,1.0,30700.0,0.073,28500.0,777.1,Confirmed
BK00064,20210226,ADV0009,PF04,AF06,Digital,21.0,163700.0,0.051,155400.0,484.8,Confirmed
BK00065,20200918,ADV0028,PF02,AF03,Print,1.0,21600.0,0.147,18400.0,,Confirmed
BK00066,20220405,ADV0073,PF01,AF02,Print,1.0,28000.0,0.005,27900.0,,Confirmed
BK00067,20191113,ADV0016,PF01,AF05,Print,1.0,700.0,0.019,700.0,,Confirmed
BK00068,20231103,ADV0051,PF05,AF06,Digital,21.0,219300.0,0.008,217500.0,472.1,Confirmed
BK00069,20190604,ADV0009,PF01,AF02,Print,1.0,31300.0,0.015,30800.0,,Confirmed
BK00070,20241208,ADV0010,PF01,AF01,Print,1.0,136900.0,0.119,120600.0,,Confirmed
BK00071,20230828,ADV0038,PF05,AF06,Digital,7.0,73300.0,0.021,71800.0,301.9,Confirmed
BK00072,20200315,ADV0056,PF01,AF03,Print,1.0,15000.0,0.076,13900.0,,Confirmed
BK00073,20190114,ADV0009,PF01,AF01,Print,,53600.0,0.073,49700.0,,Confirmed
BK00074,20231129,ADV0083,PF01,AF04,Print,1.0,129000.0,0.053,122200.0,,Confirmed
BK00075,20230401,ADV0019,PF05,AF06,Digital,21.0,151300.0,0.079,139300.0,736.1,Confirmed
BK00076,20230511,ADV0088,PF02,AF01,Print,1.0,85800.0,0.017,84300.0,,Confirmed
BK00077,20230826,ADV0007,PF04,AF07,Digital,7.0,0.0,0.037,0.0,538.8,Cancelled
BK00078,20190603,ADV0099,PF01,AF01,Print,1.0,38700.0,0.041,37100.0,,Confirmed
BK00079,20210302,ADV0010,PF02,AF03,Print,1.0,0.0,0.063,0.0,,Cancelled
BK00080,20190922,ADV0013,PF03,AF05,Print,1.0,900.0,,800.0,,Confirmed
BK00081,20240311,ADV0047,PF04,AF11,Digital,1.0,13900.0,0.064,13000.0,597.2,Confirmed
BK00082,20221009,ADV0025,PF05,AF10,Digital,1.0,18700.0,0.03,18100.0,628.4,Confirmed
BK00083,20201227,ADV0029,PF01,AF03,Print,1.0,9200.0,0.043,8800.0,,Confirmed
BK00084,20190513,ADV0074,PF01,AF01,Print,1.0,55000.0,0.055,52000.0,,Confirmed
BK00085,20201120,ADV0012,PF01,AF02,Print,1.0,27800.0,0.051,26400.0,,Confirmed
BK00086,20201216,ADV0066,PF02,AF03,Print,1.0,14000.0,0.066,13100.0,,Confirmed
BK00087,20230512,ADV0020,PF04,AF07,Digital,14.0,329300.0,0.061,309200.0,156.8,Confirmed
BK00088,20221107,ADV0008,PF05,AF10,Digital,1.0,37200.0,0.11,33100.0,62.1,Under Review
BK00089,20240425,ADV0080,PF04,AF06,Digital,14.0,173800.0,0.061,163200.0,190.9,Confirmed
BK00090,20211109,ADV0052,PF06,AF08,Digital,14.0,83600.0,0.005,83200.0,229.8,Confirmed
BK00091,20191001,ADV0044,PF04,AF06,Digital,14.0,98600.0,,96000.0,148.8,Confirmed
BK00092,20230412,ADV0045,PF05,AF10,Digital,1.0,48600.0,0.092,44100.0,186.4,Confirmed
BK00093,20230727,ADV0051,PF01,AF03,Print,1.0,25400.0,0.057,24000.0,,Confirmed
BK00094,20220509,ADV0058,PF01,AF01,Print,1.0,63400.0,0.048,60400.0,,Confirmed
BK00095,20230825,ADV0007,PF01,AF01,Print,1.0,64700.0,0.066,60400.0,,Confirmed
BK00096,20211220,ADV0052,PF01,AF03,Print,1.0,18400.0,0.011,18200.0,,Confirmed
BK00097,20220225,ADV0035,PF05,AF06,Digital,7.0,58600.0,0.014,57800.0,504.7,Confirmed
BK00098,20210727,ADV0009,PF03,AF02,Print,1.0,31100.0,0.037,29900.0,,Confirmed
BK00099,20190303,ADV0003,PF02,AF03,Print,1.0,0.0,0.009,0.0,,Cancelled
BK00100,20190903,ADV0088,PF01,AF01,Print,1.0,52600.0,0.079,48400.0,,Confirmed
BK00101,20190315,ADV0014,PF01,AF01,Print,1.0,75300.0,0.123,66000.0,,Confirmed
BK00102,20221104,ADV0055,PF04,AF10,Digital ,1.0,28100.0,0.065,26300.0,357.8,Confirmed
BK00103,20201126,ADV0029,PF02,AF05,Print,1.0,400.0,0.048,400.0,,Confirmed
BK00104,20220121,ADV0056,PF01,AF03,Print,1.0,0.0,0.061,0.0,,Cancelled
BK00105,20240603,ADV0040,PF05,AF06,Digital,21.0,266300.0,0.031,258000.0,686.3,Confirmed
BK00106,20200625,ADV0069,PF02,AF03,Print,1.0,15000.0,0.033,14500.0,,Confirmed
BK00107,20210610,ADV0026,PF03,AF03,Print,1.0,16400.0,0.035,15800.0,,Confirmed
BK00108,20230713,ADV0011,PF01,AF02,Print,1.0,45000.0,0.056,42500.0,,Confirmed
BK00109,20200510,ADV0083,PF05,AF06,Digital,60.0,341800.0,0.0,341800.0,105.5,Confirmed
BK00110,20190610,ADV0062,PF05,AF10,Digital ,1.0,19300.0,0.041,18500.0,198.6,CONFIRMED
BK00111,20201008,ADV0097,PF04,AF11,Digital,1.0,3600.0,0.07,3300.0,159.4,Confirmed
BK00112,20191222,ADV0036,PF04,AF11,Digital,1.0,5100.0,0.078,4700.0,92.6,Confirmed
BK00113,20240802,ADV0035,PF05,AF06,Digital,30.0,377100.0,0.042,361300.0,652.4,Confirmed
BK00114,20231115,ADV0033,PF05,AF06,Digital,7.0,77900.0,0.038,74900.0,682.3,Under Review
BK00115,20221029,ADV0019,PF01,AF03,Print,1.0,14600.0,0.028,14200.0,,Confirmed
BK00116,20240328,ADV0012,PF05,AF06,Digital,7.0,0.0,0.064,0.0,631.9,Cancelled
BK00117,20231106,ADV0059,PF02,AF02,Print,1.0,70300.0,0.065,65700.0,,CONFIRMED
BK00118,20200218,ADV0030,PF04,AF10,Digital,1.0,17200.0,0.035,16600.0,129.1,Confirmed
BK00119,20240505,ADV0022,PF01,AF03,Print,1.0,34000.0,0.015,33500.0,,Confirmed
BK00120,20220330,ADV0005,PF01,AF02,Print,1.0,37700.0,0.021,36900.0,,Confirmed
BK00121,20231113,ADV0091,PF04,AF10,Digital,1.0,49600.0,0.136,42900.0,290.2,Confirmed
BK00122,20240511,ADV0025,PF01,AF01,Print,1.0,75700.0,0.078,69800.0,,Confirmed
BK00123,20201203,ADV0043,PF05,AF06,Digital,14.0,85500.0,0.037,82300.0,174.3,Confirmed
BK00124,20190908,ADV0074,PF06,AF08,Digital,7.0,35400.0,0.011,35000.0,57.9,Confirmed
BK00125,20200508,ADV0061,PF01,AF01,Print,1.0,35200.0,0.006,35000.0,,Confirmed
BK00126,20210726,ADV0009,PF01,AF05,Print,1.0,700.0,0.057,700.0,,Confirmed
BK00127,20231204,ADV0060,PF04,AF11,Digital,1.0,9400.0,0.064,8800.0,573.2,Confirmed
BK00128,20240306,ADV0076,PF05,AF10,Digital,1.0,39100.0,0.012,38600.0,589.5,Confirmed
BK00129,20190117,ADV0031,PF01,AF05,Print,1.0,500.0,0.027,500.0,,Confirmed
BK00130,20220126,ADV0040,PF04,AF06,Digital,21.0,173600.0,0.033,167900.0,503.8,Confirmed
BK00131,20210629,ADV0082,PF01,AF02,Print,1.0,0.0,0.065,0.0,,Cancelled
BK00132,20200427,ADV0003,PF02,AF02,Print,1.0,24300.0,0.04,23300.0,,Confirmed
BK00133,20191001,ADV0077,PF01,AF02,Print,1.0,19600.0,0.068,18300.0,,Confirmed
BK00134,20210110,ADV0039,PF06,AF08,Digital,14.0,57500.0,0.052,54500.0,102.5,Confirmed
BK00135,20240907,ADV0075,PF06,AF08,Digital,7.0,67100.0,0.062,62900.0,207.0,Confirmed
BK00136,20201213,ADV0074,PF01,AF01,Print,1.0,51800.0,,50600.0,,Confirmed
BK00137,20220215,ADV0031,PF05,AF06,Digital,14.0,83100.0,0.054,78600.0,650.7,Confirmed
BK00138,20230325,ADV0084,PF04,AF10,Digital,1.0,23200.0,0.037,22300.0,102.8,Under Review
BK00139,20210312,ADV0034,PF05,AF10,Digital,1.0,15900.0,0.052,15100.0,560.7,Under Review
BK00140,20241108,ADV0056,PF01,AF03,Print,1.0,28100.0,0.025,27400.0,,Under Review
BK00141,20241020,ADV0080,PF04,AF06,Digital,14.0,169500.0,0.002,169200.0,671.8,Confirmed
BK00142,20200701,ADV0075,PF01,AF01,Print,,49000.0,0.062,46000.0,,Confirmed
BK00143,20211226,ADV0043,PF06,AF08,Digital,14.0,82900.0,0.028,80600.0,176.3,Confirmed
BK00144,20201031,ADV0016,PF01,AF02,Print,1.0,26900.0,0.023,26300.0,,Confirmed
BK00145,20200927,ADV0019,PF03,AF05,Print,1.0,400.0,0.048,400.0,,Confirmed
BK00146,20190326,ADV0003,PF06,AF09,Digital,7.0,61400.0,0.027,59700.0,83.9,Confirmed
BK00147,20220907,ADV0076,PF04,AF10,Digital,1.0,25500.0,0.046,24300.0,737.3,Under Review
BK00148,20220107,ADV0009,PF01,AF03,Print,1.0,19600.0,0.028,19100.0,,Confirmed
BK00149,20190421,ADV0079,PF01,AF02,Print,,32900.0,0.033,31800.0,,Confirmed
BK00150,20200912,ADV0040,PF04,AF10,Digital,1.0,16000.0,0.024,15600.0,571.3,Confirmed
BK00151,20240605,ADV0083,PF05,AF10,Digital,1.0,36800.0,0.075,34000.0,241.6,Confirmed
BK00152,20200530,ADV0015,PF01,AF05,Print,1.0,600.0,0.014,600.0,,Confirmed
BK00153,20191121,ADV0091,PF06,AF09,Digital,14.0,163300.0,0.065,152700.0,78.1,Confirmed
BK00154,20211212,ADV0041,PF01,AF03,Print,1.0,17000.0,0.025,16600.0,,Confirmed
BK00155,20241205,ADV0068,PF04,AF10,Digital,1.0,57600.0,0.073,53400.0,72.5,Under Review
BK00156,20200605,ADV0029,PF02,AF01,Print,1.0,0.0,0.044,0.0,,Cancelled
BK00157,20230114,ADV0021,PF04,AF06,Digital,21.0,145300.0,0.013,143400.0,406.2,Confirmed
BK00158,20230730,ADV0045,PF03,AF05,Print,1.0,1400.0,,1300.0,,Confirmed
BK00159,20200527,ADV0096,PF02,AF02,Print,1.0,28100.0,0.056,26500.0,,Confirmed
BK00160,20230510,ADV0085,PF01,AF04,Print,1.0,0.0,0.009,0.0,,Cancelled
BK00161,20210320,ADV0011,PF01,AF02,Print,1.0,33200.0,0.045,31700.0,,Under Review
BK00162,20221027,ADV0049,PF02,AF03,Print,,19900.0,0.039,19100.0,,Confirmed
BK00163,20221030,ADV0026,PF04,AF12,Digital,21.0,118200.0,0.044,113000.0,187.0,Confirmed
BK00164,20220323,ADV0035,PF01,AF02,Print,1.0,0.0,0.073,0.0,,Cancelled
BK00165,20190716,ADV0066,PF01,AF02,Print,1.0,28300.0,0.014,27900.0,,Confirmed
BK00166,20240106,ADV0083,PF05,AF10,Digital,1.0,40500.0,0.027,39400.0,118.2,Confirmed
BK00167,20201208,ADV0043,PF02,AF02,Print,1.0,27900.0,0.075,25800.0,,Confirmed
BK00168,20200218,ADV0037,PF04,AF11,Digital,1.0,3600.0,0.051,3400.0,214.0,Confirmed
BK00169,20190402,ADV0047,PF01,AF03,Print,1.0,21900.0,0.145,18700.0,,Confirmed
BK00170,20220718,ADV0012,PF04,AF06,Digital,21.0,185300.0,0.028,180100.0,393.5,Confirmed
BK00171,20230127,ADV0052,PF05,AF10,Digital ,,29500.0,0.059,27800.0,186.1,Confirmed
BK00172,20190209,ADV0081,PF02,AF02,Print,1.0,28900.0,0.008,28700.0,,CONFIRMED
BK00173,20220129,ADV0055,PF01,AF05,Print,1.0,900.0,0.021,900.0,,Confirmed
BK00174,20200505,ADV0013,PF01,AF04,Print,1.0,94500.0,0.075,87400.0,,Under Review
BK00175,20221122,ADV0073,PF04,AF07,Digital,30.0,244700.0,0.052,232000.0,552.2,CONFIRMED
BK00176,20200119,ADV0065,PF04,AF06,Digital,21.0,88600.0,0.078,81700.0,149.3,Under Review
BK00177,20230301,ADV0023,PF05,AF10,Digital,1.0,34100.0,0.023,33300.0,588.5,Confirmed
BK00178,20210424,ADV0010,PF02,AF02,Print,,46300.0,0.067,43200.0,,Confirmed
BK00179,20240822,ADV0034,PF04,AF11,Digital,1.0,7300.0,0.01,7200.0,749.1,Confirmed
BK00180,20191107,ADV0083,PF01,AF02,Print,1.0,27600.0,0.054,26100.0,,Confirmed
BK00181,20210119,ADV0028,PF04,AF06,Digital,30.0,278300.0,0.1,250500.0,573.5,Confirmed
BK00182,20190916,ADV0009,PF03,AF02,Print,1.0,27100.0,0.029,26300.0,,Confirmed
BK00183,20240719,ADV0040,PF04,AF06,Digital,30.0,414800.0,0.079,382000.0,377.0,Under Review
BK00184,20240407,ADV0065,PF04,AF07,Digital,14.0,194400.0,0.034,187800.0,210.7,Confirmed
BK00185,20200718,ADV0048,PF01,AF01,Print,1.0,48000.0,,47200.0,,Confirmed
BK00186,20221220,ADV0042,PF01,AF02,Print,1.0,51100.0,0.066,47700.0,,Confirmed
BK00187,20231203,ADV0006,PF05,AF12,Digital,14.0,0.0,0.026,0.0,175.4,Cancelled
BK00188,20220427,ADV0019,PF04,AF10,Digital,1.0,17000.0,0.015,16700.0,616.2,Confirmed
BK00189,20220311,ADV0082,PF04,AF10,Digital,1.0,27800.0,0.007,27600.0,92.8,Confirmed
BK00190,20200605,ADV0039,PF04,AF11,Digital,1.0,3600.0,0.046,3400.0,376.5,Confirmed
BK00191,20190724,ADV0017,PF01,AF03,Print,1.0,16600.0,0.037,16000.0,,Confirmed
BK00192,20240513,ADV0050,PF05,AF11,Digital,1.0,9900.0,0.068,9200.0,422.3,Confirmed
BK00193,20240520,ADV0066,PF05,AF06,Digital,14.0,192300.0,0.015,189400.0,169.5,Confirmed
BK00194,20221029,ADV0096,PF04,AF07,Digital,30.0,340100.0,0.047,324100.0,722.7,Confirmed
BK00195,20210114,ADV0060,PF01,AF05,Print,1.0,700.0,0.069,700.0,,Confirmed
BK00196,20210207,ADV0080,PF05,AF06,Digital,30.0,229600.0,0.074,212600.0,783.2,Confirmed
BK00197,20230505,ADV0016,PF05,AF06,Digital,7.0,0.0,0.045,0.0,175.1,CANCELLED
BK00198,20240513,ADV0007,PF03,AF05,Print,1.0,900.0,0.079,800.0,,Confirmed
BK00199,20240425,ADV0056,PF06,AF09,Digital,14.0,200000.0,0.018,196400.0,154.2,Confirmed
BK00200,20230916,ADV0069,PF01,AF02,Print,1.0,45300.0,0.078,41800.0,,Confirmed
BK00201,20221116,ADV0023,PF05,AF11,Digital,1.0,0.0,0.074,0.0,571.3,Cancelled
BK00202,20190629,ADV0033,PF01,AF01,Print,1.0,50300.0,0.004,50100.0,,Under Review
BK00203,20191223,ADV0001,PF03,AF02,Print,1.0,27300.0,,27100.0,,Confirmed
BK00204,20240516,ADV0077,PF05,AF06,Digital,14.0,126700.0,0.035,122300.0,481.7,Confirmed
BK00205,20220830,ADV0014,PF04,AF10,Digital,1.0,36200.0,0.107,32300.0,689.6,Confirmed
BK00206,20190122,ADV0060,PF04,AF10,Digital,1.0,21600.0,0.02,21200.0,631.2,Confirmed
BK00207,20190817,ADV0095,PF06,AF08,Digital,14.0,90400.0,0.057,85200.0,153.3,Confirmed
BK00208,20221226,ADV0025,PF01,AF02,Print,1.0,28600.0,0.04,27500.0,,Confirmed
BK00209,20190113,ADV0018,PF04,AF07,Digital,14.0,0.0,0.05,0.0,58.2,Cancelled
BK00210,20191221,ADV0043,PF04,AF10,Digital,1.0,20900.0,0.035,20200.0,671.2,Confirmed
BK00211,20220416,ADV0002,PF04,AF07,Digital,,118000.0,0.122,103600.0,675.6,Confirmed
BK00212,20230303,ADV0056,PF04,AF10,Digital,1.0,35000.0,0.018,34400.0,377.8,Confirmed
BK00213,20221205,ADV0061,PF04,AF11,Digital,1.0,4700.0,0.007,4700.0,118.9,Confirmed
BK00214,20200501,ADV0035,PF01,AF01,Print,1.0,50100.0,0.079,46100.0,,Confirmed
BK00215,20230411,ADV0007,PF01,AF04,Print,1.0,91500.0,0.08,84200.0,,Confirmed
BK00216,20200526,ADV0080,PF03,AF02,Print,1.0,26700.0,0.001,26700.0,,Under Review
BK00217,20201217,ADV0073,PF01,AF01,Print,1.0,31800.0,0.044,30400.0,,Confirmed
BK00218,20230618,ADV0009,PF04,AF06,Digital,30.0,291900.0,0.078,269100.0,94.3,Confirmed
BK00219,20221201,ADV0076,PF01,AF01,Print,1.0,64100.0,0.04,61500.0,,CONFIRMED
BK00220,20240208,ADV0038,PF05,AF10,Digital,1.0,37000.0,0.05,35200.0,76.1,Confirmed
BK00221,20221215,ADV0065,PF04,AF10,Digital,1.0,0.0,0.018,0.0,501.1,Cancelled
BK00222,20220522,ADV0013,PF02,AF03,Print,1.0,27900.0,0.067,26000.0,,Confirmed
BK00223,20190726,ADV0033,PF03,AF02,Print,1.0,29200.0,0.019,28600.0,,Confirmed
BK00224,20210320,ADV0032,PF02,AF02,Print,1.0,32500.0,0.048,30900.0,,Under Review
BK00225,20200808,ADV0027,PF01,AF02,Print,1.0,34100.0,0.147,29100.0,,Confirmed
BK00226,20200611,ADV0054,PF01,AF02,Print,,19700.0,0.011,19500.0,,Confirmed
BK00227,20241111,ADV0058,PF05,AF10,Digital,1.0,41900.0,0.031,40600.0,90.1,Confirmed
BK00228,20210506,ADV0052,PF02,AF03,Print,1.0,17900.0,0.056,16900.0,,Confirmed
BK00229,20240504,ADV0005,PF05,AF06,Digital,14.0,187100.0,0.018,183700.0,86.3,Confirmed
BK00230,20221025,ADV0008,PF01,AF02,Print,1.0,56700.0,0.081,52100.0,,Confirmed
BK00231,20231019,ADV0052,PF02,AF02,Print,1.0,53100.0,0.08,48900.0,,Confirmed
BK00232,20220107,ADV0065,PF04,AF11,Digital,1.0,5200.0,0.061,4900.0,386.2,CONFIRMED
BK00233,20220610,ADV0098,PF02,AF03,Print,1.0,21900.0,0.026,21300.0,,Confirmed
BK00234,20211218,ADV0039,PF04,AF07,Digital,7.0,55500.0,0.031,53800.0,774.0,Confirmed
BK00235,20200309,ADV0100,PF05,AF11,Digital,1.0,3100.0,0.019,3000.0,291.2,Confirmed
BK00236,20230429,ADV0028,PF05,AF06,Digital ,21.0,336700.0,0.077,310800.0,536.1,Confirmed
BK00237,20200917,ADV0026,PF04,AF06,Digital,30.0,165900.0,0.046,158300.0,656.0,Confirmed
BK00238,20190301,ADV0001,PF01,AF03,Print,1.0,17300.0,0.004,17200.0,,Confirmed
BK00239,20221122,ADV0039,PF05,AF10,Digital,1.0,18000.0,,17100.0,301.1,Confirmed
BK00240,20200126,ADV0036,PF03,AF05,Print,1.0,500.0,0.073,500.0,,Confirmed
BK00241,20240901,ADV0054,PF02,AF02,Print,1.0,39000.0,0.068,36300.0,,Confirmed
BK00242,20241003,ADV0091,PF02,AF02,Print,1.0,86800.0,0.066,81100.0,,Confirmed
BK00243,20240622,ADV0058,PF01,AF01,Print,1.0,102700.0,0.064,96100.0,,Confirmed
BK00244,20210325,ADV0071,PF01,AF02,Print,1.0,33200.0,0.077,30600.0,,Confirmed
BK00245,20190207,ADV0016,PF05,AF10,Digital,1.0,18500.0,0.029,18000.0,441.7,Confirmed
BK00246,20240729,ADV0091,PF01,AF03,Print,1.0,42400.0,0.076,39200.0,,Confirmed
BK00247,20210729,ADV0021,PF02,AF02,Print,1.0,22800.0,0.033,22000.0,,Confirmed
BK00248,20241029,ADV0024,PF02,AF01,Print,1.0,144200.0,0.135,124700.0,,Confirmed
BK00249,20241023,ADV0091,PF05,AF10,Digital,1.0,54500.0,0.082,50000.0,185.5,Confirmed
BK00250,20240218,ADV0083,PF01,AF02,Print,1.0,57100.0,0.074,52900.0,,Confirmed
BK00251,20201017,ADV0010,PF01,AF01,Print,1.0,70700.0,0.143,60600.0,,Confirmed
BK00252,20210421,ADV0062,PF01,AF03,Print,1.0,17300.0,0.042,16600.0,,Confirmed
BK00253,20240213,ADV0081,PF02,AF02,Print,,60400.0,0.001,60300.0,,Confirmed
BK00254,20201201,ADV0030,PF04,AF11,Digital,1.0,5100.0,0.039,4900.0,493.0,Confirmed
BK00255,20200108,ADV0074,PF03,AF05,Print,1.0,600.0,0.078,600.0,,Confirmed
BK00256,20220430,ADV0049,PF02,AF02,Print,1.0,37800.0,0.004,37600.0,,Confirmed
BK00257,20240820,ADV0001,PF01,AF03,Print,,30100.0,0.067,28100.0,,Confirmed
BK00258,20230311,ADV0024,PF06,AF08,Digital,30.0,349400.0,0.072,324200.0,54.8,Confirmed
BK00259,20220525,ADV0009,PF01,AF02,Print,1.0,39900.0,0.03,38700.0,,Confirmed
BK00260,20190805,ADV0064,PF01,AF01,Print,1.0,54000.0,0.066,50400.0,,Confirmed
BK00261,20220920,ADV0049,PF01,AF05,Print,1.0,800.0,0.038,800.0,,Confirmed
BK00262,20241213,ADV0056,PF05,AF11,Digital,1.0,11400.0,0.052,10800.0,675.5,Confirmed
BK00263,20191112,ADV0029,PF01,AF02,Print,1.0,19300.0,0.041,18500.0,,Confirmed
BK00264,20220214,ADV0038,PF04,AF11,Digital,1.0,7300.0,0.012,7200.0,371.3,Confirmed
