sale_id,date_id,product_id,customer_id,channel_id,quantity,unit_price_egp,discount_pct,total_revenue_egp,order_status,market
SL00049,20240201,PR15,CUS0096,CH01,722.0,104.3,0.066,0.0,Cancelled,Domestic
SL00050,20230513,PR04,CUS0078,CH01,260.0,44.1,0.065,10720.7,Completed,Domestic
SL00051,20241211,PR10,CUS0091,CH02,265.0,261.5,,65416.8,Completed,Domestic
SL00052,20240807,PR07,CUS0018,CH02,308.0,94.4,0.06,27330.7,Completed,Domestic
SL00053,20241122,PR03,CUS0051,CH04,10620.0,95.2,0.135,874535.8,COMPLETED,Export
SL00054,20241027,PR14,CUS0111,CH03,1141.0,86.0,0.048,93416.0,Completed,Domestic
SL00055,20240310,PR11,CUS0045,CH03,141.0,470.2,0.009,65701.5,Completed,Domestic
SL00056,20241112,PR01,CUS0008,CH03,521.0,124.6,0.005,64592.0,Completed,Domestic
SL00057,20230303,PR04,CUS0089,CH04,838.0,39.4,0.064,30904.1,Completed,Domestic
SL00058,20230522,PR04,CUS0053,CH02,2179.0,43.8,0.022,93340.5,Completed,Domestic
SL00059,20230131,PR05,CUS0067,CH01,18667.0,61.7,0.126,1006632.9,Completed,Export
SL00060,20230916,PR05,CUS0095,CH05,10731.0,56.4,0.147,516259.8,Completed,Export
SL00061,20231024,PR13,CUS0065,CH03,,183.5,0.052,13046.8,Completed,Domestic
SL00062,20230805,PR07,CUS0087,CH01,2534.0,80.0,0.06,190556.8,Completed,Domestic
SL00063,20240918,PR06,CUS0041,CH03,316.0,38.9,0.064,11505.7,Completed,Domestic
SL00064,20231006,PR06,CUS0009,CH02,955.0,37.3,0.045,34018.5,Completed,Domestic
SL00065,20230813,PR06,CUS0033,CH05,6081.0,35.4,0.119,189650.6,Completed,Domestic
SL00066,20240130,PR02,CUS0011,CH01,2266.0,182.4,0.005,411251.8,Completed,Domestic
SL00067,20230410,PR09,CUS0036,CH02,2893.0,65.0,0.017,184848.2,Completed,Domestic
SL00068,20240901,PR11,CUS0095,CH03,927.0,445.8,0.136,357053.7,Completed,Export
SL00069,20230221,PR03,CUS0044,CH01,11417.0,80.1,0.099,823966.0,Completed,Export
SL00070,20241223,PR06,CUS0014,CH05,14680.0,38.7,0.136,490852.2,Completed,Export
SL00071,20240805,PR05,CUS0039,CH03,2814.0,68.2,0.074,177713.1,Completed,Domestic
SL00072,20230525,PR10,CUS0060,CH02,4786.0,219.2,0.163,878089.3,Completed,Export
SL00073,20230104,PR09,CUS0054,CH01,,63.9,0.14,610648.8,Completed,Export
SL00074,20240910,PR11,CUS0023,CH01,265.0,458.5,0.027,118221.9,Completed,Domestic
SL00075,20240531,PR02,CUS0071,CH06,740.0,182.8,0.022,132296.0,Completed,Domestic
SL00076,20240621,PR01,CUS0008,CH01,788.0,124.6,0.021,96122.9,Pending,Domestic
SL00077,20240804,PR06,CUS0003,CH05,686.0,41.1,0.037,27151.4,Completed,Domestic
SL00078,20230221,PR16,CUS0011,CH03,641.0,115.1,0.048,0.0,Cancelled,Domestic
SL00079,20231007,PR13,CUS0109,CH03,182.0,180.3,0.066,30648.8,Completed,Domestic
SL00080,20230323,PR07,CUS0067,CH04,3227.0,77.1,,225414.3,Completed,Export
SL00081,20241009,PR13,CUS0007,CH04,224.0,231.4,0.026,50485.9,Completed,Domestic
SL00082,20240327,PR03,CUS0034,CH01,11561.0,104.1,0.099,1084353.6,Completed,Export
SL00083,20230920,PR11,CUS0051,CH02,2738.0,382.1,0.149,890307.5,Completed,Export
SL00084,20230213,PR04,CUS0070,CH01,16119.0,42.9,0.143,592619.9,Completed,Export
SL00085,20230907,PR04,CUS0052,CH02,8421.0,41.8,0.005,350237.8,Completed,Domestic
SL00086,20230916,PR02,CUS0045,CH01,175.0,154.3,0.01,26732.5,Completed,Domestic
SL00087,20240622,PR10,CUS0009,CH01,187.0,254.2,0.001,47487.9,Completed,Domestic
SL00088,20240407,PR07,CUS0106,CH02,5973.0,94.5,0.156,476394.5,Completed,Export
SL00089,20241023,PR05,CUS0089,CH05,934.0,65.4,0.004,60839.3,Completed,Domestic
SL00090,20231213,PR10,CUS0052,CH04,1002.0,222.2,0.064,208395.2,Completed,Domestic
SL00091,20230325,PR05,CUS0034,CH01,5240.0,56.6,,247351.1,Completed,Export
SL00092,20240606,PR11,CUS0094,CH05,70.0,443.3,0.04,0.0,Cancelled,Domestic
SL00093,20240724,PR05,CUS0092,CH04,736.0,67.5,0.0,49680.0,Completed,Domestic
SL00094,20240212,PR08,CUS0008,CH01,282.0,113.6,0.048,30497.5,Completed,Domestic
SL00095,20240804,PR06,CUS0042,CH01,15515.0,43.2,0.093,607914.9,Completed,Export
SL00096,20231228,PR10,CUS0037,CH02,169.0,197.7,0.012,33010.4,Completed,Domestic
SL00097,20240116,PR06,CUS0016,CH01,2852.0,41.9,0.032,115674.8,Completed,Domestic
SL00098,20231115,PR01,CUS0034,CH02,2138.0,115.8,0.091,225050.6,Completed,Export
SL00099,20230118,PR01,CUS0046,CH03,7910.0,106.7,0.038,811925.1,Completed,Domestic
SL00100,20230317,PR06,CUS0119,CH01,15425.0,34.5,0.178,437437.6,Completed,Export
SL00101,20230122,PR03,CUS0107,CH02,387.0,88.7,0.039,32988.2,Completed,Domestic
SL00102,20240406,PR05,CUS0021,CH04,5222.0,70.8,0.075,341988.8,Completed,Domestic 
SL00103,20230909,PR03,CUS0048,CH01,580.0,88.1,0.035,49309.6,Completed,Domestic
SL00104,20240107,PR07,CUS0060,CH06,10484.0,92.9,0.162,816181.5,Completed,Export
SL00105,20241103,PR09,CUS0031,CH04,3094.0,75.8,0.097,211776.3,Completed,Export
SL00106,20230713,PR11,CUS0105,CH05,55.0,376.6,0.049,19698.1,Completed,Domestic
SL00107,20231105,PR01,CUS0044,CH01,8242.0,111.8,0.08,847739.2,Completed,Export
SL00108,20240719,PR10,CUS0001,CH03,554.0,233.0,0.036,124435.0,Completed,Domestic
SL00109,20230622,PR10,CUS0116,CH04,2119.0,201.1,0.164,356245.4,Completed,Export
SL00110,20230223,PR08,CUS0012,CH03,1156.0,100.0,0.008,114675.2,COMPLETED,Domestic 
SL00111,20230821,PR12,CUS0113,CH06,302.0,170.7,0.023,50365.7,Completed,Domestic
SL00112,20230425,PR01,CUS0047,CH02,1824.0,109.4,0.056,188371.0,Completed,Domestic
SL00113,20241116,PR15,CUS0044,CH02,8219.0,116.5,0.164,800481.3,Completed,Export
SL00114,20240905,PR01,CUS0116,CH04,9569.0,122.8,0.115,1039939.8,Completed,Export
SL00115,20240404,PR01,CUS0105,CH04,660.0,133.4,0.054,83289.6,Pending,Domestic
SL00116,20241014,PR08,CUS0071,CH01,349.0,108.9,0.01,0.0,Returned,Domestic
SL00117,20240902,PR12,CUS0111,CH02,993.0,185.9,0.007,183306.5,COMPLETED,Domestic
SL00118,20230515,PR05,CUS0033,CH02,7645.0,54.3,0.063,388970.7,Completed,Domestic
SL00119,20241026,PR12,CUS0040,CH05,950.0,186.4,0.067,165215.6,Completed,Domestic
SL00120,20240127,PR15,CUS0046,CH03,7027.0,119.5,0.022,821252.5,Completed,Domestic
SL00121,20240904,PR10,CUS0028,CH02,4866.0,249.2,0.154,1025865.7,Completed,Export
SL00122,20241028,PR15,CUS0024,CH02,8086.0,117.4,0.097,857214.6,Completed,Export
SL00123,20230912,PR07,CUS0116,CH02,3323.0,80.7,0.098,241885.8,Completed,Export
SL00124,20230319,PR11,CUS0008,CH01,214.0,357.8,0.005,76186.4,Pending,Domestic
SL00125,20230621,PR12,CUS0049,CH01,1089.0,163.3,0.053,168408.5,Pending,Domestic
SL00126,20231115,PR03,CUS0038,CH02,6624.0,88.0,0.049,554349.3,Completed,Domestic
SL00127,20240911,PR05,CUS0089,CH01,239.0,68.6,0.05,15575.6,Pending,Domestic
SL00128,20241008,PR02,CUS0008,CH01,782.0,168.6,0.024,128680.9,Completed,Domestic
SL00129,20230105,PR04,CUS0049,CH05,1955.0,41.8,0.042,78286.8,Completed,Domestic
SL00130,20240108,PR04,CUS0034,CH01,6457.0,46.3,0.161,0.0,Cancelled,Export
SL00131,20231109,PR01,CUS0041,CH03,449.0,103.9,0.027,45391.5,Completed,Domestic
SL00132,20230615,PR11,CUS0041,CH03,256.0,361.7,0.058,87224.7,Completed,Domestic
SL00133,20230325,PR07,CUS0012,CH04,2175.0,81.7,0.051,168634.9,Completed,Domestic
SL00134,20230924,PR03,CUS0009,CH03,638.0,84.0,0.057,50537.3,Completed,Domestic
SL00135,20241124,PR08,CUS0078,CH02,185.0,117.5,0.058,20476.7,Completed,Domestic
SL00136,20230915,PR06,CUS0113,CH03,7051.0,35.5,,236293.1,Completed,Domestic
SL00137,20240114,PR10,CUS0101,CH02,2575.0,251.6,0.087,591505.3,Completed,Export
SL00138,20240528,PR02,CUS0105,CH01,560.0,172.5,0.046,92156.4,Completed,Domestic
SL00139,20231010,PR07,CUS0094,CH04,53.0,82.0,0.022,4250.4,Completed,Domestic
SL00140,20241213,PR03,CUS0092,CH02,293.0,103.8,0.002,30352.6,Completed,Domestic
SL00141,20241206,PR16,CUS0052,CH03,3021.0,142.0,0.055,405388.0,Completed,Domestic
SL00142,20230715,PR01,CUS0039,CH01,,104.7,0.074,434248.9,Completed,Domestic
SL00143,20231230,PR02,CUS0083,CH01,5151.0,148.8,0.02,751139.4,Completed,Domestic
SL00144,20230901,PR04,CUS0092,CH06,275.0,39.2,0.042,10327.2,Completed,Domestic
SL00145,20230817,PR10,CUS0003,CH01,113.0,224.3,0.021,24813.6,Pending,Domestic
SL00146,20230125,PR07,CUS0030,CH05,2619.0,75.3,0.04,189322.3,Completed,Domestic
SL00147,20240318,PR06,CUS0099,CH02,7741.0,43.7,0.114,299717.6,Completed,Export
SL00148,20240103,PR01,CUS0062,CH06,4891.0,127.9,0.079,576139.7,Completed,Domestic
SL00149,20230204,PR12,CUS0095,CH02,,150.0,0.15,238425.0,Completed,Export
SL00150,20230811,PR09,CUS0105,CH01,149.0,61.8,0.065,8609.7,Completed,Domestic
SL00151,20241104,PR08,CUS0109,CH02,455.0,108.3,0.013,0.0,Returned,Domestic
SL00152,20230703,PR02,CUS0003,CH04,595.0,143.1,0.011,84207.9,Completed,Domestic
SL00153,20230413,PR12,CUS0030,CH01,782.0,154.8,0.022,118390.4,Completed,Domestic
SL00154,20231225,PR06,CUS0069,CH02,16148.0,33.9,0.103,491033.2,Pending,Export
SL00155,20241222,PR16,CUS0007,CH02,54.0,126.8,0.038,6587.0,Completed,Domestic
SL00156,20230705,PR08,CUS0081,CH03,3926.0,94.3,0.096,0.0,Cancelled,Export
SL00157,20240502,PR03,CUS0099,CH01,3630.0,99.9,0.122,318395.3,Completed,Export
SL00158,20240725,PR02,CUS0053,CH01,2573.0,179.3,,438733.3,Completed,Domestic
SL00159,20230701,PR01,CUS0020,CH02,783.0,116.7,0.034,88269.3,Completed,Domestic
SL00160,20240621,PR04,CUS0001,CH01,2465.0,49.8,0.025,119688.1,Completed,Domestic
SL00161,20231012,PR10,CUS0031,CH02,2046.0,209.7,0.18,351817.9,Completed,Export
SL00162,20240403,PR14,CUS0033,CH04,,85.5,0.074,90178.0,Completed,Domestic
SL00163,20240404,PR09,CUS0080,CH05,423.0,81.1,0.015,33790.7,Completed,Domestic
SL00164,20240125,PR07,CUS0107,CH03,363.0,90.1,0.023,31954.1,Pending,Domestic
SL00165,20230305,PR12,CUS0051,CH01,2122.0,150.8,0.159,269118.0,Completed,Export
SL00166,20240922,PR04,CUS0096,CH04,3491.0,52.6,0.045,175363.4,Completed,Domestic
SL00167,20230913,PR04,CUS0056,CH01,4999.0,40.3,0.118,177687.5,Completed,Export
SL00168,20230515,PR10,CUS0118,CH05,1224.0,223.2,0.024,266640.1,Completed,Domestic
SL00169,20230128,PR07,CUS0062,CH01,3334.0,79.5,0.053,251005.2,Completed,Domestic
SL00170,20240305,PR06,CUS0104,CH02,2632.0,42.7,0.022,109913.9,Completed,Domestic
SL00171,20240507,PR01,CUS0066,CH06,,122.4,0.155,376995.1,Completed,Export 
SL00172,20230112,PR08,CUS0075,CH06,6147.0,91.8,0.105,0.0,RETURNED,Export
SL00173,20240109,PR10,CUS0076,CH01,101.0,252.8,0.045,24383.8,Completed,Domestic
SL00174,20230620,PR11,CUS0106,CH02,3965.0,389.0,0.177,1269382.9,Completed,Export
SL00175,20240412,PR14,CUS0027,CH01,90.0,80.6,0.054,6862.3,COMPLETED,Domestic
SL00176,20230505,PR09,CUS0002,CH02,3013.0,63.1,0.086,173770.0,Completed,Domestic
SL00177,20240518,PR04,CUS0041,CH02,841.0,47.2,0.028,38583.7,Completed,Domestic
SL00178,20231023,PR13,CUS0029,CH02,,179.9,0.09,768450.0,Completed,Export
SL00179,20241120,PR04,CUS0034,CH06,4403.0,50.7,0.093,202471.5,Completed,Export
SL00180,20230407,PR07,CUS0063,CH02,8980.0,80.0,0.081,660209.6,Completed,Export
SL00181,20230926,PR04,CUS0048,CH06,676.0,41.2,0.067,25985.2,Completed,Domestic
SL00182,20230321,PR07,CUS0004,CH06,246.0,85.5,0.06,19771.0,Completed,Domestic
SL00183,20241113,PR07,CUS0113,CH02,1464.0,93.4,0.029,132772.2,Completed,Domestic
SL00184,20241017,PR05,CUS0041,CH04,274.0,68.0,0.018,18296.6,Completed,Domestic
SL00185,20230722,PR11,CUS0007,CH01,70.0,362.1,,25321.7,Completed,Domestic
SL00186,20240423,PR14,CUS0030,CH02,1252.0,82.9,0.017,102026.4,Completed,Domestic
SL00187,20240911,PR02,CUS0085,CH06,3897.0,163.5,0.077,588098.2,Completed,Domestic
SL00188,20240208,PR03,CUS0035,CH01,703.0,106.4,0.004,74500.0,Completed,Domestic
SL00189,20240121,PR07,CUS0092,CH01,310.0,97.9,0.03,0.0,Returned,Domestic
SL00190,20230705,PR14,CUS0057,CH02,2123.0,72.0,0.032,147964.6,Completed,Domestic
SL00191,20230307,PR12,CUS0029,CH02,4319.0,151.5,0.13,569265.8,Completed,Export
SL00192,20241028,PR07,CUS0072,CH02,2777.0,100.4,0.013,275186.3,Completed,Domestic
SL00193,20241030,PR16,CUS0065,CH01,122.0,129.2,0.041,15116.1,Completed,Domestic
SL00194,20240403,PR05,CUS0072,CH05,3268.0,72.2,0.029,229107.1,Completed,Domestic
SL00195,20230925,PR13,CUS0010,CH04,2587.0,199.8,0.115,457441.1,Completed,Domestic
SL00196,20231001,PR12,CUS0020,CH02,188.0,170.7,0.069,0.0,Cancelled,Domestic
SL00197,20240618,PR07,CUS0049,CH05,750.0,95.2,0.024,69686.4,COMPLETED,Domestic
SL00198,20241028,PR04,CUS0067,CH03,14689.0,53.0,0.088,0.0,Returned,Export
SL00199,20241023,PR07,CUS0028,CH01,7923.0,90.8,0.096,650345.2,Completed,Export
SL00200,20240812,PR04,CUS0027,CH03,388.0,52.9,0.059,19314.2,Completed,Domestic
SL00201,20240410,PR06,CUS0031,CH02,14815.0,43.8,0.087,592443.0,Completed,Export
SL00202,20230228,PR10,CUS0001,CH03,1174.0,196.9,0.004,230236.0,Completed,Domestic
SL00203,20230425,PR11,CUS0027,CH01,188.0,359.0,,65399.7,Completed,Domestic
SL00204,20241029,PR10,CUS0017,CH05,3164.0,250.4,0.135,685309.7,Completed,Export
SL00205,20240316,PR10,CUS0031,CH05,4337.0,250.1,0.17,0.0,Returned,Export
SL00206,20230107,PR07,CUS0006,CH01,2392.0,77.1,0.017,181288.0,Completed,Domestic
SL00207,20230313,PR08,CUS0062,CH04,732.0,89.8,0.091,59751.8,Pending,Domestic
SL00208,20240426,PR06,CUS0094,CH03,551.0,43.2,0.03,23089.1,Completed,Domestic
SL00209,20230104,PR10,CUS0098,CH02,968.0,213.8,0.001,206751.4,Completed,Domestic
SL00210,20230424,PR02,CUS0113,CH02,4087.0,149.4,0.058,0.0,Cancelled,Domestic
SL00211,20240203,PR04,CUS0018,CH04,,50.0,0.051,24057.1,Completed,Domestic
SL00212,20240519,PR12,CUS0025,CH05,1365.0,197.6,0.015,265678.1,Pending,Domestic
SL00213,20240417,PR05,CUS0073,CH02,8857.0,67.8,0.112,533248.1,Completed,Export
SL00214,20230617,PR11,CUS0056,CH05,913.0,358.1,0.148,278557.4,Completed,Export
SL00215,20240605,PR01,CUS0009,CH03,656.0,138.6,0.047,0.0,Cancelled,Domestic
SL00216,20230630,PR16,CUS0095,CH03,7555.0,123.0,0.082,853065.3,Completed,Export
SL00217,20230916,PR01,CUS0107,CH03,234.0,103.6,0.039,23296.9,Pending,Domestic
SL00218,20240709,PR06,CUS0054,CH04,19486.0,39.1,0.086,696379.0,Pending,Export
SL00219,20240416,PR01,CUS0057,CH05,628.0,127.5,0.035,77267.6,COMPLETED,Domestic
SL00220,20241001,PR05,CUS0095,CH01,13707.0,66.0,0.083,829575.1,Completed,Export
SL00221,20240421,PR08,CUS0066,CH05,3012.0,106.2,0.103,286927.3,Completed,Export
SL00222,20240217,PR01,CUS0008,CH05,354.0,131.6,0.012,46027.4,Completed,Domestic
SL00223,20230307,PR03,CUS0104,CH05,3603.0,82.8,0.017,293256.8,Completed,Domestic
SL00224,20231012,PR06,CUS0105,CH01,644.0,34.6,0.037,21458.0,Completed,Domestic
SL00225,20230730,PR01,CUS0022,CH04,779.0,104.0,0.058,76317.1,Pending,Domestic
SL00226,20230707,PR10,CUS0069,CH01,,199.5,0.167,470631.7,Completed,Export
SL00227,20241213,PR04,CUS0104,CH03,1481.0,48.8,0.04,69381.9,Completed,Domestic
SL00228,20231026,PR06,CUS0006,CH01,764.0,36.0,0.054,26018.8,Pending,Domestic
SL00229,20241025,PR03,CUS0045,CH02,133.0,96.5,0.054,12141.4,Completed,Domestic
SL00230,20240402,PR03,CUS0062,CH03,3380.0,97.6,0.117,291291.1,Completed,Domestic
SL00231,20240825,PR16,CUS0013,CH02,10093.0,145.1,0.156,0.0,Returned,Export
SL00232,20240103,PR09,CUS0117,CH02,222.0,76.1,0.059,15897.4,COMPLETED,Domestic
SL00233,20240224,PR10,CUS0079,CH04,4622.0,241.6,0.119,983790.9,Completed,Export
SL00234,20231227,PR08,CUS0120,CH02,1718.0,101.2,0.006,172818.4,Pending,Domestic
SL00235,20230522,PR04,CUS0099,CH04,8466.0,40.4,0.174,282513.8,Completed,Export
SL00236,20240615,PR04,CUS0034,CH03,14019.0,48.0,0.08,619079.0,Completed,Export 
SL00237,20230813,PR10,CUS0088,CH03,907.0,205.1,0.057,175422.2,Completed,Domestic
SL00238,20230117,PR12,CUS0068,CH03,173.0,169.0,0.025,28506.1,Pending,Domestic
SL00239,20240413,PR09,CUS0112,CH02,1908.0,76.8,,143164.1,Completed,Domestic
SL00240,20230507,PR08,CUS0033,CH03,3707.0,92.3,0.113,303492.5,Completed,Domestic
SL00241,20241123,PR04,CUS0093,CH04,3468.0,47.9,0.056,156814.6,Completed,Domestic
SL00242,20241201,PR02,CUS0070,CH03,11196.0,163.0,0.109,0.0,Returned,Export
SL00243,20241108,PR07,CUS0046,CH05,2915.0,98.4,0.068,267331.2,Completed,Domestic
SL00244,20231013,PR03,CUS0054,CH04,3658.0,89.8,0.116,290383.7,Completed,Export
SL00245,20230111,PR12,CUS0114,CH03,119.0,160.5,0.018,18755.7,Completed,Domestic
SL00246,20241116,PR01,CUS0007,CH06,406.0,125.0,0.028,49329.0,Completed,Domestic
SL00247,20231116,PR15,CUS0015,CH04,4320.0,92.4,0.108,356057.9,Completed,Domestic
SL00248,20241209,PR16,CUS0008,CH06,195.0,135.5,0.013,26079.0,Completed,Domestic
SL00249,20241207,PR05,CUS0063,CH05,18807.0,67.3,0.142,1085980.1,Completed,Export
SL00250,20241003,PR07,CUS0017,CH02,11320.0,97.2,0.122,966066.9,Completed,Export
SL00251,20230826,PR10,CUS0097,CH03,1019.0,210.6,0.097,193785.1,Completed,Domestic
SL00252,20231022,PR14,CUS0028,CH01,9654.0,67.1,0.129,564219.3,Completed,Export
SL00253,20241002,PR01,CUS0089,CH05,,131.4,0.07,53280.1,Completed,Domestic
SL00254,20230911,PR14,CUS0086,CH01,6277.0,76.8,0.085,441097.3,Completed,Export
SL00255,20230501,PR12,CUS0026,CH05,111.0,154.1,0.059,16095.9,Completed,Domestic
SL00256,20240209,PR05,CUS0025,CH01,1255.0,69.7,0.012,0.0,Cancelled,Domestic
SL00257,20241120,PR04,CUS0086,CH03,,50.5,0.117,657189.5,Completed,Export
SL00258,20240522,PR13,CUS0045,CH01,249.0,221.5,0.039,53002.5,Completed,Domestic
SL00259,20240219,PR10,CUS0089,CH04,151.0,239.5,0.057,0.0,Cancelled,Domestic
SL00260,20230310,PR05,CUS0039,CH03,6838.0,59.2,0.076,374044.1,Completed,Domestic
SL00261,20240322,PR05,CUS0034,CH01,11816.0,64.5,0.151,647050.1,Completed,Export
SL00262,20241225,PR05,CUS0030,CH06,4855.0,65.1,0.008,313532.0,Completed,Domestic
SL00263,20230409,PR05,CUS0048,CH02,823.0,54.0,0.005,0.0,Cancelled,Domestic
SL00264,20240113,PR12,CUS0086,CH01,3134.0,189.9,0.149,506469.8,Completed,Export
SL00265,20241017,PR07,CUS0030,CH06,4125.0,88.9,,347643.5,Completed,Domestic
SL00266,20240703,PR05,CUS0037,CH01,622.0,66.6,0.068,38608.3,Completed,Domestic
SL00267,20240523,PR12,CUS0073,CH02,2056.0,195.5,0.086,367380.5,Completed,Export
SL00268,20240527,PR09,CUS0115,CH03,6458.0,77.1,0.157,419739.6,Completed,Export
SL00269,20231007,PR12,CUS0034,CH01,4531.0,153.0,0.168,576778.2,Completed,Export
SL00270,20230825,PR08,CUS0039,CH01,1654.0,98.1,0.075,150088.1,Completed,Domestic
SL00271,20240906,PR03,CUS0065,CH01,159.0,103.8,0.023,16124.6,Pending,Domestic
SL00272,20240906,PR04,CUS0108,CH01,4538.0,47.6,0.043,206720.4,Pending,Domestic
SL00273,20241011,PR01,CUS0027,CH05,525.0,121.4,0.042,61058.1,Completed,Domestic
SL00274,20241107,PR02,CUS0081,CH01,5308.0,175.5,0.137,803931.1,Completed,Export
SL00275,20240109,PR09,CUS0115,CH01,10038.0,78.4,0.107,702772.4,Completed,Export
SL00276,20240102,PR12,CUS0070,CH01,4708.0,178.0,0.133,726566.8,Completed,Export
SL00277,20240829,PR02,CUS0025,CH01,,167.5,0.013,303532.1,Completed,Domestic
SL00278,20240416,PR07,CUS0073,CH04,7375.0,92.9,0.166,571404.7,Completed,Export
SL00279,20240527,PR11,CUS0091,CH03,100.0,467.2,0.032,45225.0,Completed,Domestic
SL00280,20240826,PR07,CUS0097,CH06,777.0,101.0,0.115,69452.1,Completed,Domestic
SL00281,20241024,PR12,CUS0030,CH05,941.0,189.2,0.051,168957.3,Completed,Domestic
SL00282,20230924,PR06,CUS0061,CH06,4394.0,34.1,0.078,138148.2,Completed,Domestic
SL00283,20231016,PR06,CUS0094,CH02,210.0,35.4,0.064,6958.2,Completed,Domestic
SL00284,20230307,PR07,CUS0075,CH05,11319.0,82.5,0.178,767598.0,Completed,Export
