policy_id,date_id,customer_id,product_id,branch_id,channel_id,premium_egp,underwriting_cost,admin_cost,total_cost,expected_claim_reserve,term_months,policy_status,customer_type,is_returning_customer
POL00027,20240721,CUS0081,PR02,BR01,CH03,1018.49,114.61,126.57,241.18,687.77,6.0,Expired,Individual,True
POL00028,20230602,CUS0138,PR05,BR02,CH03,52801.68,8226.5,5729.06,13955.56,28731.01,6.0,Expired,Corporate,False
POL00029,20240316,CUS0149,PR04,BR02,CH01,35889.08,3629.78,4619.09,8248.87,18895.42,12.0,Expired,Corporate,False
POL00030,20230704,CUS0012,PR02,BR12,CH03,871.81,151.0,96.36,247.36,486.59,12.0,ACTIVE,Individual,True
POL00031,20240208,CUS0166,PR09,BR07,CH02,140207.91,20405.5,14541.6,34947.1,77906.0,12.0,Active,Corporate,True
POL00032,20231209,CUS0029,PR07,BR01,CH02,1355.85,163.77,121.8,285.57,375.34,24.0,Expired,Individual,False
POL00033,20240125,CUS0064,PR02,BR02,CH03,1523.61,180.25,208.42,388.67,949.01,6.0,Expired,Individual,True
POL00034,20240106,CUS0105,PR02,BR01,CH01,1811.17,258.28,183.81,442.09,958.22,6.0,Active,Individual,True
POL00035,20240701,CUS0026,PR01,BR01,CH04,7121.19,1133.49,802.97,1936.46,5506.39,12.0,Active,Individual,False
POL00036,20241126,CUS0062,PR02,BR01,CH03,658.27,92.83,81.88,174.71,304.55,6.0,Active,Individual,False
POL00037,20240114,CUS0019,PR02,BR09,CH01,401.15,42.98,,101.42,268.81,,Active,Individual,True
POL00038,20231123,CUS0179,PR05,BR10,CH01,18365.1,3204.9,2618.05,5822.95,10813.19,24.0,Active,Corporate,False
POL00039,20231220,CUS0074,PR02,BR03,CH01,1690.31,236.84,203.22,440.06,1129.55,12.0,Expired,Individual,True
POL00040,20240523,CUS0079,PR07,BR05,CH03,380.29,58.2,45.0,103.2,139.89,24.0,Active,Individual,True
POL00041,20240404,CUS0073,PR01,BR04,CH01,2426.29,375.65,337.87,713.52,1444.22,6.0,Active,Individual,False
POL00042,20240727,CUS0066,PR03,BR09,CH03,3686.52,430.98,,881.14,1225.5,12.0,Cancelled,Individual,True
POL00043,20231104,CUS0140,PR10,BR03,CH01,77968.4,12912.24,11192.0,24104.24,46264.35,24.0,Active,Corporate,False
POL00044,20241018,CUS0038,PR01,BR10,CH02,4619.72,575.53,679.16,1254.69,3588.77,24.0,Active,Individual,False
POL00045,20241212,CUS0024,PR01,BR03,CH01,4492.43,559.42,502.42,1061.84,3074.81,12.0,Expired,Individual,False
POL00046,20230612,CUS0047,PR02,BR01,CH01,806.17,93.47,106.33,199.8,443.85,,Active,Individual,False
POL00047,20241130,CUS0076,PR02,BR01,CH01,1123.39,189.28,96.34,285.62,521.58,12.0,Cancelled,Individual,False
POL00048,20231111,CUS0049,PR01,BR02,CH04,7453.82,1323.51,1092.25,2415.76,5019.95,6.0,Active,Individual,False
POL00049,20240604,CUS0047,PR01,BR01,CH02,5267.91,832.69,785.0,1617.69,4192.32,6.0,Cancelled,Individual,False
POL00050,20241006,CUS0007,PR02,BR01,CH03,1530.64,161.37,176.21,337.58,1074.46,12.0,Active,Individual,True
POL00051,20231112,CUS0134,PR05,BR01,CH03,22762.88,3110.95,,5083.22,11337.58,6.0,Active,Corporate,False
POL00052,20230615,CUS0092,PR03,BR10,CH02,3195.21,504.69,297.44,802.13,1056.58,12.0,Active,Individual,True
POL00053,20240309,CUS0166,PR08,BR07,CH01,14680.51,2122.07,1659.95,3782.02,4772.63,6.0,ACTIVE,Corporate,True
POL00054,20230916,CUS0045,PR01,BR05,CH04,3682.8,607.82,540.2,1148.02,2732.03,12.0,Active,Individual,True
POL00055,20241117,CUS0160,PR10,BR04,CH02,218385.16,37758.6,26703.82,64462.42,119748.34,6.0,Active,Corporate,True
POL00056,20230101,CUS0056,PR02,BR04,CH01,1804.37,236.49,269.25,505.74,1239.36,12.0,Active,Individual,True
POL00057,20240118,CUS0055,PR02,BR09,CH02,907.85,106.37,135.1,241.47,439.29,12.0,Expired,Individual,False
POL00058,20230526,CUS0121,PR02,BR06,CH02,1145.97,174.35,133.78,308.13,632.65,24.0,Active,Individual,False
POL00059,20241112,CUS0135,PR08,BR09,CH02,5149.02,800.29,460.11,1260.4,2051.7,12.0,Active,Corporate,True
POL00060,20231217,CUS0012,PR02,BR01,CH03,1904.83,227.61,168.76,396.37,820.75,6.0,Expired,Individual,True
POL00061,20240117,CUS0076,PR01,BR06,CH02,6242.28,988.18,663.98,1652.16,4500.06,,Active,Individual,False
POL00062,20230906,CUS0039,PR02,BR02,CH01,1576.85,181.07,185.69,366.76,865.97,12.0,Expired,Individual,True
POL00063,20230212,CUS0045,PR02,BR02,CH03,1507.75,230.07,202.07,432.14,894.93,24.0,Active,Individual,True
POL00064,20230821,CUS0157,PR08,BR03,CH01,10906.24,1810.06,926.69,2736.75,5285.81,6.0,Active,Corporate,True
POL00065,20231221,CUS0025,PR01,BR04,CH02,2196.44,244.68,280.92,525.6,1443.06,12.0,Expired,Individual,True
POL00066,20231020,CUS0031,PR01,BR02,CH02,1604.86,226.04,173.02,399.06,1148.4,6.0,Expired,Individual,True
POL00067,20241218,CUS0047,PR02,BR04,CH02,700.67,122.07,58.98,181.05,481.13,24.0,Expired,Individual,False
POL00068,20241113,CUS0111,PR02,BR03,CH02,1113.03,192.97,114.48,307.45,476.92,24.0,Active,Individual,True
POL00069,20241028,CUS0139,PR04,BR04,CH01,87363.23,11662.01,8101.57,19763.58,45539.98,12.0,Expired,Corporate,False
POL00070,20240710,CUS0098,PR01,BR02,CH03,4103.14,642.56,330.07,972.63,2690.62,6.0,Active,Individual,True
POL00071,20230505,CUS0168,PR05,BR01,CH01,43775.99,6778.65,6043.31,12821.96,23990.52,24.0,Active,Corporate,True
POL00072,20241208,CUS0008,PR01,BR07,CH02,2375.82,253.17,278.65,531.82,1180.29,6.0,Active,Individual,True
POL00073,20240613,CUS0095,PR01,BR07,CH02,5440.6,633.66,609.07,1242.73,4141.89,,Active,Individual,True
POL00074,20231007,CUS0004,PR07,BR01,CH01,213.85,23.26,21.35,44.61,96.73,12.0,Active,Individual,True
POL00075,20241230,CUS0032,PR02,BR01,CH01,1267.59,166.45,166.26,332.71,897.4,12.0,Cancelled,Individual,True
POL00076,20240405,CUS0117,PR02,BR01,CH02,1696.9,225.41,202.15,427.56,1069.57,6.0,Active,Individual,False
POL00077,20230928,CUS0061,PR01,BR11,CH03,5420.7,699.14,720.89,1420.03,3737.52,6.0,Active,Individual,False
POL00078,20240920,CUS0122,PR01,BR05,CH03,4764.5,623.67,664.13,1287.8,3515.58,24.0,Expired,Individual,False
POL00079,20230207,CUS0122,PR01,BR10,CH02,4206.23,457.45,385.2,842.65,2508.27,24.0,Active,Individual,False
POL00080,20231231,CUS0062,PR03,BR06,CH02,3632.05,567.88,,1015.03,1615.03,12.0,Active,Individual,False
POL00081,20231014,CUS0160,PR05,BR02,CH02,5277.63,558.99,542.17,1101.16,2550.18,6.0,Active,Corporate,True
POL00082,20230103,CUS0057,PR01,BR01,CH01,2787.59,359.02,387.15,746.17,2117.79,24.0,Active,Individual,True
POL00083,20241025,CUS0046,PR03,BR02,CH01,3896.6,426.93,578.08,1005.01,1287.21,12.0,Active,Individual,True
POL00084,20230509,CUS0083,PR07,BR11,CH03,621.09,84.86,72.72,157.58,256.93,6.0,Expired,Individual,True
POL00085,20240303,CUS0050,PR03,BR02,CH03,12154.63,1680.68,1689.66,3370.34,4196.54,24.0,Active,Individual,True
POL00086,20230330,CUS0077,PR01,BR09,CH04,5284.88,675.53,681.14,1356.67,3867.5,6.0,Active,Individual,False
POL00087,20230427,CUS0073,PR01,BR09,CH02,6542.78,808.04,827.77,1635.81,3198.3,12.0,Cancelled,Individual,False
POL00088,20231117,CUS0081,PR02,BR07,CH03,1025.9,138.75,89.64,228.39,411.77,12.0,Cancelled,Individual,True
POL00089,20240824,CUS0120,PR02,BR05,CH02,1918.99,220.95,208.68,429.63,908.52,12.0,Expired,Individual,True
POL00090,20230210,CUS0132,PR05,BR01,CH01,23650.65,4204.55,3317.6,7522.15,10128.18,24.0,Cancelled,Corporate,True
POL00091,20230326,CUS0108,PR07,BR01,CH02,901.57,160.14,,278.68,379.61,24.0,Expired,Individual,True
POL00092,20240518,CUS0090,PR07,BR08,CH01,808.66,91.58,96.3,187.88,220.6,24.0,Active,Individual,False
POL00093,20230505,CUS0032,PR03,BR05,CH01,4372.27,466.28,562.44,1028.72,1462.17,12.0,Active,Individual,True
POL00094,20240917,CUS0005,PR02,BR03,CH02,1438.95,225.28,190.85,416.13,912.2,6.0,Active,Individual,True
POL00095,20230713,CUS0118,PR01,BR07,CH02,6722.87,1047.49,779.2,1826.69,3304.16,6.0,Active,Individual,True
POL00096,20231029,CUS0141,PR08,BR01,CH01,15228.17,2003.57,2258.33,4261.9,5221.66,24.0,Active,Corporate,True
POL00097,20230720,CUS0084,PR01,BR09,CH04,4542.3,605.38,555.79,1161.17,2011.77,12.0,Active,Individual,True
POL00098,20240426,CUS0046,PR07,BR02,CH02,464.41,76.63,40.51,117.14,162.46,12.0,Active,Individual,True
POL00099,20230110,CUS0150,PR05,BR01,CH02,33646.88,3784.11,4682.93,8467.04,19358.65,24.0,Active,Corporate,True
POL00100,20240324,CUS0125,PR01,BR07,CH02,5714.85,741.76,750.78,1492.54,3367.48,12.0,Active,Individual,True
POL00101,20241105,CUS0145,PR09,BR07,CH03,118832.58,19650.88,16551.54,36202.42,57597.61,24.0,Active,Corporate,False
POL00102,20240213,CUS0021,PR01,BR12,CH01,6930.83,1023.03,880.68,1903.71,5072.86,12.0,Cancelled,Individual,True
POL00103,20231103,CUS0045,PR02,BR01,CH02,1376.44,188.43,116.9,305.33,783.66,6.0,Cancelled,Individual,True
POL00104,20231204,CUS0065,PR01,BR09,CH01,5776.68,880.84,737.49,1618.33,2524.01,24.0,Cancelled,Individual,True
POL00105,20240224,CUS0062,PR01,BR02,CH01,3498.36,558.89,347.59,906.48,1556.26,24.0,Active,Individual,False
POL00106,20231130,CUS0167,PR05,BR02,CH04,67177.39,9728.64,9042.67,18771.31,25620.28,6.0,Expired,Corporate,True
POL00107,20231231,CUS0024,PR02,BR01,CH01,1815.07,232.1,232.42,464.52,1054.08,24.0,Expired,Individual,False
POL00108,20240707,CUS0047,PR07,BR04,CH05,576.04,58.55,53.95,112.5,214.21,24.0,Active,Individual,False
POL00109,20241011,CUS0114,PR02,BR08,CH02,1975.59,250.26,198.58,448.84,814.54,12.0,Active,Individual,True
POL00110,20230820,CUS0133,PR08,BR02,CH05,11006.3,1602.46,1586.49,3188.95,3627.6,6.0,ACTIVE,Corporate,False
POL00111,20230430,CUS0049,PR07,BR08,CH01,647.75,85.18,96.07,181.25,215.52,12.0,Expired,Individual,False
POL00112,20231121,CUS0086,PR07,BR09,CH05,272.09,33.84,35.01,68.85,75.0,12.0,Expired,Individual,True
POL00113,20241028,CUS0098,PR01,BR12,CH01,2932.5,512.22,287.05,799.27,2256.88,6.0,Active,Individual,True
POL00114,20241003,CUS0124,PR01,BR11,CH01,2675.63,354.34,346.67,701.01,1313.38,12.0,Active,Individual,False
POL00115,20230427,CUS0069,PR01,BR01,CH05,3245.43,408.64,331.53,740.17,1750.48,24.0,Expired,Individual,False
POL00116,20230310,CUS0062,PR01,BR06,CH03,6527.27,773.96,535.91,1309.87,2854.46,24.0,Expired,Individual,False
POL00117,20241225,CUS0022,PR07,BR03,CH02,909.46,123.46,85.02,208.48,253.64,24.0,EXPIRED,Individual,True
POL00118,20230419,CUS0142,PR05,BR01,CH01,40621.95,4469.74,4453.36,8923.1,23491.43,24.0,Active,Corporate,True
POL00119,20240828,CUS0144,PR08,BR04,CH03,17096.88,2663.09,2488.4,5151.49,4989.49,6.0,Active,Corporate,False
POL00120,20240120,CUS0047,PR03,BR07,CH02,8241.15,1173.95,983.32,2157.27,3404.1,6.0,Cancelled,Individual,False
POL00121,20240928,CUS0030,PR01,BR03,CH01,4676.83,596.25,701.16,1297.41,2980.05,6.0,Active,Individual,False
POL00122,20240402,CUS0030,PR02,BR01,CH03,692.21,88.56,99.33,187.89,456.05,24.0,Active,Individual,False
POL00123,20231204,CUS0071,PR03,BR02,CH02,4776.11,543.77,614.8,1158.57,1935.05,12.0,Cancelled,Individual,False
POL00124,20240423,CUS0111,PR01,BR04,CH02,2090.93,269.41,282.69,552.1,1637.62,12.0,Expired,Individual,True
POL00125,20230915,CUS0029,PR07,BR06,CH04,1311.25,198.51,124.97,323.48,353.65,12.0,Active,Individual,False
POL00126,20231001,CUS0025,PR02,BR03,CH05,1011.18,177.96,137.73,315.69,505.61,12.0,Cancelled,Individual,True
POL00127,20231201,CUS0168,PR04,BR02,CH03,51218.61,8440.55,4258.31,12698.86,29251.78,12.0,Active,Corporate,True
POL00128,20230530,CUS0029,PR02,BR03,CH02,690.26,86.06,59.82,145.88,294.58,6.0,Active,Individual,False
POL00129,20240919,CUS0149,PR04,BR06,CH05,77428.32,9361.12,8442.4,17803.52,32945.01,6.0,Active,Corporate,False
POL00130,20230512,CUS0011,PR03,BR12,CH03,10357.73,1277.09,1296.3,2573.39,5135.32,24.0,Cancelled,Individual,False
POL00131,20240215,CUS0128,PR05,BR02,CH03,62755.28,11166.69,5601.77,16768.46,22721.07,12.0,Expired,Corporate,True
POL00132,20240911,CUS0108,PR01,BR06,CH02,6470.44,795.21,842.85,1638.06,4043.63,6.0,Expired,Individual,True
POL00133,20241009,CUS0015,PR03,BR10,CH02,4148.4,688.22,446.11,1134.33,1441.47,6.0,Active,Individual,True
POL00134,20231203,CUS0001,PR02,BR03,CH01,1891.34,203.83,240.2,444.03,779.68,12.0,Active,Individual,True
POL00135,20240727,CUS0037,PR07,BR01,CH03,374.55,52.4,48.26,100.66,92.45,12.0,Active,Individual,True
POL00136,20240727,CUS0105,PR02,BR11,CH02,970.58,146.77,,289.27,689.87,12.0,Expired,Individual,True
POL00137,20240819,CUS0117,PR01,BR02,CH05,4334.41,729.36,474.49,1203.85,2226.57,12.0,Expired,Individual,False
POL00138,20240419,CUS0133,PR06,BR01,CH05,95515.11,13047.53,8938.55,21986.08,42420.56,12.0,Cancelled,Corporate,False
POL00139,20240611,CUS0095,PR07,BR03,CH03,413.81,47.35,33.63,80.98,130.13,24.0,Expired,Individual,True
POL00140,20230224,CUS0113,PR03,BR01,CH03,4173.5,497.49,386.93,884.42,2165.31,6.0,Active,Individual,False
POL00141,20230608,CUS0121,PR02,BR02,CH03,1015.2,177.3,87.0,264.3,409.96,24.0,Active,Individual,False
POL00142,20230219,CUS0038,PR03,BR02,CH01,11990.29,1753.34,1324.64,3077.98,5394.91,,Active,Individual,False
POL00143,20240903,CUS0013,PR07,BR05,CH02,1077.75,147.49,95.15,242.64,456.15,24.0,Active,Individual,False
POL00144,20241231,CUS0053,PR03,BR03,CH04,8453.14,1490.01,1219.26,2709.27,3080.34,12.0,Active,Individual,False
POL00145,20230502,CUS0072,PR01,BR04,CH02,2536.09,286.24,307.16,593.4,1946.81,6.0,Active,Individual,True
POL00146,20230809,CUS0047,PR07,BR03,CH02,1228.28,163.13,172.87,336.0,520.9,6.0,Cancelled,Individual,False
POL00147,20240729,CUS0162,PR04,BR08,CH02,93052.98,16582.72,7854.66,24437.38,59937.5,24.0,Active,Corporate,True
POL00148,20240405,CUS0002,PR02,BR06,CH03,1293.54,146.62,135.04,281.66,922.19,6.0,Cancelled,Individual,True
POL00149,20241027,CUS0047,PR01,BR04,CH02,5969.68,634.56,572.38,1206.94,3906.22,,Cancelled,Individual,False
POL00150,20241014,CUS0045,PR07,BR03,CH05,410.47,73.27,42.06,115.33,172.62,6.0,Cancelled,Individual,True
POL00151,20240303,CUS0115,PR03,BR02,CH02,14097.24,2193.55,1197.72,3391.27,4646.62,6.0,Active,Individual,True
POL00152,20240914,CUS0084,PR07,BR02,CH01,1197.52,124.91,104.64,229.55,444.75,12.0,Active,Individual,True
POL00153,20230326,CUS0137,PR09,BR02,CH03,74649.66,10902.1,9065.73,19967.83,42363.98,6.0,Active,Corporate,True
POL00154,20240327,CUS0005,PR03,BR05,CH03,9373.18,1576.84,1339.04,2915.88,3572.71,6.0,Active,Individual,True
POL00155,20230809,CUS0064,PR07,BR01,CH02,1207.49,144.21,105.9,250.11,312.66,6.0,Cancelled,Individual,True
POL00156,20231026,CUS0113,PR01,BR04,CH05,5325.37,884.86,613.1,1497.96,3151.25,6.0,Expired,Individual,False
POL00157,20230612,CUS0110,PR01,BR03,CH01,5594.98,837.17,451.91,1289.08,3923.65,6.0,Expired,Individual,True
POL00158,20240923,CUS0021,PR03,BR01,CH01,7734.31,1285.92,,2206.6,3381.17,6.0,Expired,Individual,True
POL00159,20230314,CUS0028,PR02,BR04,CH01,1558.06,259.78,223.19,482.97,712.93,24.0,Active,Individual,True
POL00160,20241225,CUS0015,PR03,BR11,CH02,7681.94,979.94,783.97,1763.91,2604.57,12.0,Active,Individual,True
POL00161,20240402,CUS0145,PR06,BR04,CH02,36535.53,5627.81,5440.79,11068.6,22359.8,24.0,Cancelled,Corporate,False
POL00162,20240423,CUS0013,PR01,BR04,CH03,5855.45,1053.22,696.15,1749.37,2573.99,,Active,Individual,False
POL00163,20230926,CUS0180,PR04,BR01,CH01,17351.75,2002.73,2058.87,4061.6,6696.68,12.0,Active,Corporate,True
POL00164,20240707,CUS0094,PR01,BR05,CH02,7803.52,817.23,827.59,1644.82,3535.49,12.0,Expired,Individual,False
POL00165,20240803,CUS0032,PR02,BR04,CH02,1208.66,144.71,149.98,294.69,479.21,24.0,Active,Individual,True
POL00166,20240625,CUS0080,PR01,BR06,CH01,2299.11,248.53,220.66,469.19,1512.24,24.0,Expired,Individual,True
POL00167,20231226,CUS0071,PR03,BR10,CH02,6721.3,763.43,687.64,1451.07,2792.26,6.0,Active,Individual,False
POL00168,20230315,CUS0096,PR07,BR01,CH02,511.88,68.6,62.62,131.22,182.61,12.0,Active,Individual,False
POL00169,20240510,CUS0040,PR03,BR07,CH05,3394.38,603.12,467.54,1070.66,1200.54,12.0,Active,Individual,True
POL00170,20240210,CUS0011,PR01,BR01,CH01,4869.41,826.08,521.3,1347.38,2210.16,6.0,Expired,Individual,False
POL00171,20240104,CUS0064,PR07,BR12,CH01,947.99,147.87,80.86,228.73,386.11,,Active,Individual,True
POL00172,20230124,CUS0175,PR04,BR06,CH02,30546.71,3173.06,4098.27,7271.33,13498.62,12.0,EXPIRED,Corporate,True
POL00173,20240815,CUS0089,PR07,BR02,CH01,1032.23,182.54,154.57,337.11,428.34,24.0,Active,Individual,True
POL00174,20231119,CUS0035,PR01,BR06,CH01,6427.01,873.2,686.42,1559.62,4797.23,24.0,Active,Individual,True
POL00175,20240318,CUS0081,PR01,BR08,CH02,3594.4,622.88,386.48,1009.36,2850.73,24.0,ACTIVE,Individual,True
POL00176,20240927,CUS0130,PR06,BR09,CH05,68759.4,7359.09,6636.46,13995.55,31926.79,24.0,Active,Corporate,False
POL00177,20230402,CUS0092,PR03,BR06,CH02,14199.16,1724.35,1780.2,3504.55,4475.79,6.0,Expired,Individual,True
POL00178,20231128,CUS0061,PR01,BR03,CH03,3669.71,536.23,501.13,1037.36,2823.64,,Active,Individual,False
POL00179,20241212,CUS0032,PR01,BR03,CH02,1842.04,237.11,213.2,450.31,1207.58,6.0,Active,Individual,True
POL00180,20240927,CUS0035,PR03,BR04,CH01,6353.26,786.25,915.88,1702.13,3555.87,6.0,Active,Individual,True
POL00181,20240414,CUS0124,PR02,BR07,CH02,814.18,136.67,110.66,247.33,357.34,6.0,Expired,Individual,False
POL00182,20240508,CUS0021,PR03,BR01,CH04,11196.85,1378.45,1527.01,2905.46,5149.54,6.0,Expired,Individual,True
POL00183,20230418,CUS0058,PR01,BR06,CH01,7772.51,1338.43,691.22,2029.65,4416.35,6.0,Active,Individual,False
POL00184,20231224,CUS0090,PR02,BR04,CH01,1235.71,158.68,121.05,279.73,573.0,12.0,Active,Individual,False
POL00185,20240218,CUS0080,PR01,BR04,CH03,4342.24,575.35,,1014.89,3255.85,24.0,Expired,Individual,True
POL00186,20240710,CUS0117,PR01,BR01,CH05,6868.2,956.77,704.69,1661.46,3442.47,12.0,Active,Individual,False
POL00187,20240928,CUS0171,PR08,BR02,CH03,9475.85,1652.47,1167.22,2819.69,4062.74,6.0,Active,Corporate,False
POL00188,20240413,CUS0045,PR02,BR03,CH01,1891.34,252.86,220.27,473.13,910.89,12.0,Expired,Individual,True
POL00189,20230330,CUS0035,PR02,BR01,CH03,1466.09,148.41,195.85,344.26,802.63,24.0,Expired,Individual,True
POL00190,20241223,CUS0059,PR01,BR01,CH02,5338.96,739.27,799.76,1539.03,4250.26,6.0,Active,Individual,False
POL00191,20230919,CUS0067,PR02,BR04,CH03,1084.45,112.9,104.73,217.63,533.96,12.0,Active,Individual,False
POL00192,20231101,CUS0015,PR01,BR11,CH01,6980.58,1053.01,663.96,1716.97,3469.15,12.0,Active,Individual,True
POL00193,20230529,CUS0155,PR04,BR10,CH01,66739.05,10360.7,7077.3,17438.0,31620.34,12.0,Active,Corporate,True
POL00194,20231204,CUS0107,PR03,BR10,CH01,12662.3,1831.81,1244.56,3076.37,5596.87,24.0,Expired,Individual,True
POL00195,20240322,CUS0110,PR01,BR06,CH01,6770.83,1026.23,936.97,1963.2,3880.79,6.0,Active,Individual,True
POL00196,20230410,CUS0125,PR01,BR12,CH02,2069.25,292.78,268.79,561.57,1017.01,12.0,Active,Individual,True
POL00197,20230115,CUS0019,PR01,BR02,CH01,4284.84,466.8,345.21,812.01,3140.27,6.0,ACTIVE,Individual,True
POL00198,20240111,CUS0129,PR05,BR11,CH01,9945.06,1425.96,1203.22,2629.18,5308.28,24.0,Active,Corporate,True
POL00199,20230831,CUS0043,PR02,BR04,CH03,532.36,87.55,70.43,157.98,259.83,24.0,Cancelled,Individual,False
POL00200,20241203,CUS0006,PR03,BR03,CH05,9542.66,1701.16,1267.58,2968.74,3897.19,24.0,Cancelled,Individual,True
POL00201,20230620,CUS0052,PR02,BR04,CH01,494.63,70.77,55.01,125.78,315.72,12.0,Active,Individual,True
POL00202,20230709,CUS0099,PR01,BR01,CH02,2711.96,465.57,383.21,848.78,1915.7,6.0,Active,Individual,True
POL00203,20231103,CUS0086,PR01,BR01,CH03,3644.07,468.85,,951.74,1697.6,12.0,Expired,Individual,True
POL00204,20240317,CUS0079,PR07,BR03,CH02,635.85,74.75,68.37,143.12,237.24,24.0,Active,Individual,True
POL00205,20230802,CUS0130,PR09,BR04,CH04,19999.07,2971.85,2449.25,5421.1,12199.51,24.0,Expired,Corporate,False
POL00206,20240206,CUS0053,PR03,BR04,CH02,5308.74,771.03,668.17,1439.2,2824.43,12.0,Cancelled,Individual,False
POL00207,20230919,CUS0124,PR02,BR01,CH05,836.56,89.86,121.69,211.55,467.36,12.0,Active,Individual,False
POL00208,20230617,CUS0096,PR01,BR04,CH02,3783.58,540.19,351.07,891.26,2188.18,24.0,Active,Individual,False
POL00209,20240611,CUS0028,PR01,BR03,CH04,4994.37,842.11,678.91,1521.02,2702.49,12.0,Expired,Individual,True
POL00210,20230126,CUS0132,PR04,BR06,CH03,50629.04,9099.54,4331.35,13430.89,31775.29,6.0,Active,Corporate,True
POL00211,20230707,CUS0115,PR01,BR02,CH02,4854.1,645.37,636.31,1281.68,2689.14,,Expired,Individual,True
POL00212,20231110,CUS0164,PR09,BR03,CH04,80464.94,10665.28,9769.55,20434.83,34248.86,24.0,Active,Corporate,False
POL00213,20240305,CUS0060,PR01,BR06,CH02,7456.84,1179.47,1083.02,2262.49,5957.66,12.0,Expired,Individual,True
POL00214,20230516,CUS0063,PR01,BR03,CH04,1732.71,205.4,218.32,423.72,1295.26,24.0,Active,Individual,True
POL00215,20241128,CUS0141,PR06,BR09,CH03,71545.98,12285.52,9756.15,22041.67,39853.64,6.0,Expired,Corporate,True
POL00216,20231011,CUS0141,PR04,BR06,CH01,27942.4,4404.57,3883.42,8287.99,13386.2,24.0,Active,Corporate,True
POL00217,20240103,CUS0019,PR01,BR02,CH01,4789.72,689.77,647.01,1336.78,2492.46,12.0,Cancelled,Individual,True
POL00218,20230113,CUS0097,PR02,BR01,CH05,727.63,76.97,89.81,166.78,372.49,6.0,Active,Individual,True
