sale_id,date_id,route_id,train_id,channel_id,ticket_class,tickets_sold,ticket_price,discount_pct,discount_amount,total_revenue,payment_method,booking_status
S00072,20230610,R02,T05,CH06,Second,1,138.91,5.0,6.95,131.96,Credit Card,Completed
S00073,20230104,R02,T06,CH06,Second,2,137.12,5.0,13.71,260.53,Debit Card,Completed
S00074,20240818,R02,T04,CH01,Second,1,201.79,0.0,0.0,201.79,Credit Card,Completed
S00075,20240616,R08,T09,CH02,Second,1,68.08,0.0,0.0,0.0,Instapay,Cancelled
S00076,20240702,R14,T09,CH03,Second,1,64.61,5.0,3.23,61.38,,Completed
S00077,20240725,R01,T04,CH02,First,2,288.55,10.0,57.71,519.39,Wallet,Completed
S00078,20230221,R13,T09,CH03,Third,1,36.16,5.0,1.81,34.35,Cash,Completed
S00079,20230915,R08,T08,CH01,Third,1,34.56,0.0,0.0,34.56,Instapay,Completed
S00080,20230328,R05,T08,CH03,Second,2,69.09,0.0,0.0,138.18,Cash,Completed
S00081,20240919,R04,T10,CH01,Second,1,68.22,0.0,0.0,68.22,Instapay,Completed
S00082,20240403,R10,T10,CH03,Third,1,39.43,0.0,0.0,39.43,Credit Card,Completed
S00083,20230826,R04,T10,CH01,Second,1,70.22,0.0,0.0,0.0,,Cancelled
S00084,20230212,R07,T08,CH03,Third,1,33.72,,0.0,33.72,Credit Card,Completed
S00085,20230816,R13,T08,CH03,Third,3,34.25,20.0,20.55,82.2,Credit Card,Completed
S00086,20230823,R09,T06,CH04,Second,1,121.94,15.0,18.29,103.65,Cash,Completed
S00087,20240702,R01,T05,CH06,Second,1,115.63,0.0,0.0,115.63,Debit Card,Completed
S00088,20240417,R04,T06,CH01,Third,1,56.23,0.0,0.0,56.23,Credit Card,Completed
S00089,20241008,R14,T09,CH04,Third,1,33.72,5.0,1.69,32.03,Cash,Completed
S00090,20231214,R07,T10,CH06,Third,3,32.23,0.0,0.0,96.69,Credit Card,Completed
S00091,20230331,R06,T10,CH03,Second,1,68.58,0.0,0.0,68.58,Cash,Completed
S00092,20240621,R03,T07,CH04,Third,3,76.44,,0.0,229.32,Cash,Completed
S00093,20240719,R11,T05,CH05,Third,2,76.16,5.0,7.62,144.7,Cash,Completed
S00094,20240211,R03,T07,CH06,Third,3,72.74,10.0,21.82,196.4,Debit Card,Completed
S00095,20240725,R02,T09,CH03,Third,1,42.46,15.0,6.37,0.0,Cash, Cancelled 
S00096,20231228,R06,T08,CH04,Second,1,70.33,0.0,0.0,70.33,Cash,Completed
S00097,20240115,R01,T03,CH06,second,1,163.13,0.0,0.0,163.13,Debit Card,Completed
S00098,20231111,R08,T08,CH03,Third,1,37.07,0.0,0.0,37.07,Cash,Completed
S00099,20230116,R08,T06,CH03,Third,4,58.6,5.0,11.72,222.68,Cash,Completed
S00100,20230321,R04,T08,CH02,Third,2,33.75,,0.0,67.5,Wallet,Completed
S00101,20230120,R07,T08,CH02,Second,3,63.5,5.0,9.53,180.97,Debit Card,Completed
S00102,20240416,R02,T08,CH05,Second,1,84.37,10.0,8.44,75.93,Cash,Completed
S00103,20230818,R01,T06,CH03,Third,4,54.11,5.0,10.82,205.62,Credit Card,Completed
S00104,20240106,R12,T03,CH02,First,2,406.95,20.0,162.78,0.0,Wallet,Cancelled
S00105,20241025,R02,T07,CH03,Third,4,69.84,15.0,41.9,237.46,Credit Card,Completed
S00106,20230713,R11,T04,CH03,Second,2,211.15,5.0,21.11,401.19,Cash,Completed
S00107,20231028,R08,T05,CH01,Second,2,111.81,5.0,11.18,212.44,Instapay,Completed
S00108,20240716,R04,T06,CH05,Second,4,111.54,0.0,0.0,446.16,Cash,Completed
S00109,20230702,R13,T09,CH03,Third,3,33.77,10.0,10.13,91.18,Cash,Completed
S00110,20230223,R12,T06,CH01,Third,1,81.78,10.0,8.18,73.6,Debit Card,Completed
S00111,20230804,R03,T09,CH01,Third,3,47.26,15.0,21.27,120.51,Credit Card,Completed
S00112,20230510,R08,T08,CH05,Third,1,34.79,10.0,3.48,31.31,Cash,Completed
S00113,20241113,R01,T01,CH05,Second,1,196.87,0.0,0.0,196.87,Cash, Completed 
S00114,20240814,R03,T09,CH05,Third,2,47.05,5.0,4.71,89.39,Cash,Completed
S00115,20240413,R08,T08,CH04,Second,1,70.65,20.0,14.13,56.52,Cash,Completed
S00116,20240926,R06,T10,CH04,Second,1,66.52,0.0,0.0,66.52,Cash,Completed
S00117,20240811,R08,T05,CH02,First,4,180.99,10.0,72.4,651.56,Debit Card,Completed
S00118,20230601,R07,T08,CH04,Second,3,63.95,0.0,0.0,191.85,Cash,Completed
S00119,20241013,R06,T08,CH04,Second,1,69.66,0.0,0.0,69.66,Cash,Completed
S00120,20240126,R02,T03,CH03,First,1,343.21,0.0,0.0,343.21,Cash,Completed
S00121,20240813,R04,T06,CH03,Third,2,53.01,10.0,10.6,95.42,Cash,Completed
S00122,20241016,R01,T09,CH03,Third,1,34.88,5.0,1.74,33.14,Credit Card,Completed
S00123,20230819,R08,T05,CH03,Second,2,113.87,5.0,11.39,216.35,Credit Card,Completed
S00124,20230323,R05,T10,CH05,Third,1,34.84,5.0,1.74,33.1,Cash,Completed
S00125,20230702,R04,T06,CH02,Second,1,114.74,5.0,5.74,109.0,Instapay,Completed
S00126,20231111,R03,T04,CH03,Second,1,213.69,0.0,0.0,213.69,Credit Card,Completed
S00127,20240819,R11,T03,CH02,Second,1,215.64,0.0,0.0,215.64,,Completed
S00128,20240917,R12,T03,CH02,Second,1,233.2,5.0,11.66,221.54,Debit Card,Completed
S00129,20230105,R12,T05,CH04,Third,2,78.31,5.0,7.83,148.79,Cash,Completed
S00130,20240108,R08,T08,CH02,Second,2,69.95,15.0,20.98,118.92,Debit Card,Completed
S00131,20231103,R07,T09,CH03,Second,4,67.89,0.0,0.0,271.56,Credit Card,Completed
S00132,20230628,R03,T05,CH05,Second,3,144.7,5.0,21.7,412.4,Cash,Completed
S00133,20230331,R09,T08,CH02,Third,2,37.77,0.0,0.0,75.54,Instapay,Completed
S00134,20230830,R04,T08,CH02,Third,2,35.68,0.0,0.0,0.0,Credit Card,Cancelled
S00135,20241124,R01,T05,CH01,Third,2,56.7,0.0,0.0,113.4,Debit Card,Completed
S00136,20230822,R02,T06,CH02,Third,2,66.12,5.0,6.61,125.63,Credit Card,Completed
S00137,20240113,R04,T09,CH03,Third,2,36.63,5.0,3.66,69.6,Cash,Completed
S00138,20240613,R04,T08,CH02,Second,1,73.86,5.0,3.69,70.17,Credit Card, Completed 
S00139,20230920,R02,T07,CH02,Second,3,130.18,5.0,19.53,371.01,Credit Card,Completed
S00140,20241214,R06,T08,CH06,Third,2,32.57,0.0,0.0,65.14,Credit Card,Completed
S00141,20241208,R02,T04,CH01,Second,1,191.23,10.0,19.12,0.0,Instapay,Cancelled
S00142,20230715,R06,T10,CH03,Third,3,33.43,5.0,5.01,95.28,Credit Card,Completed
S00143,20231230,R02,T03,CH02,Second,2,200.28,5.0,20.03,380.53,Wallet,Completed
S00144,20230810,R04,T05,CH01,Second,2,108.73,20.0,43.49,173.97,Debit Card,Completed
S00145,20230801,R05,T10,CH03,Third,1,34.65,15.0,5.2,29.45,Credit Card,Completed
S00146,20230124,R06,T08,CH01,Third,3,34.64,20.0,20.78,83.14,Credit Card,Completed
S00147,20240322,R02,T06,CH05,Third,2,68.12,0.0,0.0,136.24,Cash,Completed
S00148,20240103,R09,T05,CH03,Third,1,60.69,,0.0,60.69,Cash,Completed
S00149,20230202,R03,T07,CH03,Third,1,76.71,5.0,3.84,72.87,Cash,Completed
S00150,20230729,R03,T06,CH06,Third,1,72.38,5.0,3.62,0.0,Credit Card,Cancelled
S00151,20241026,R08,T09,CH02,Third,1,34.06,20.0,6.81,27.25,Debit Card, Completed 
S00152,20230708,R02,T04,CH03,First,2,338.88,0.0,0.0,677.76,Cash,Completed
S00153,20230424,R09,T10,CH04,Second,1,75.19,10.0,7.52,67.67,Cash,Completed
S00154,20231225,R10,T05,CH02,Second,1,126.88,0.0,0.0,126.88,Wallet,Completed
S00155,20241223,R02,T04,CH02,Second,1,203.78,10.0,20.38,183.4,Wallet,Completed
S00156,20230709,R05,T09,CH01,Third,1,33.85,0.0,0.0,33.85,Debit Card,Completed
S00157,20240519,R01,T09,CH04,Third,1,35.33,10.0,3.53,31.8,Cash,Completed
S00158,20240720,R02,T07,CH03,Second,3,135.06,0.0,0.0,405.18,Cash,Completed
S00159,20230707,R04,T09,CH01,Third,4,34.42,0.0,0.0,137.68,Instapay,Completed
S00160,20240701,R08,T06,CH01,Second,3,110.08,5.0,16.51,313.73,Debit Card,Completed
S00161,20230923,R08,T05,CH03,First,1,178.82,15.0,26.82,152.0,Credit Card,Completed
S00162,20240412,R02,T03,CH01,First,2,343.17,0.0,0.0,686.34,Instapay,Completed
S00163,20240413,R06,T10,CH03,Third,1,32.73,0.0,0.0,32.73,Credit Card,Completed
S00164,20240123,R02,T08,CH03,Second,1,90.59,0.0,0.0,0.0,Cash,Cancelled
S00165,20230306,R03,T06,CH02,First,1,238.29,5.0,11.91,226.38,Debit Card,Completed
S00166,20240829,R10,T05,CH03,Third,1,63.81,,0.0,63.81,Cash,Completed
S00167,20230821,R12,T06,CH03,Third,1,79.19,0.0,0.0,79.19,Cash,Completed
S00168,20230601,R03,T03,CH03,Second,1,222.51,0.0,0.0,222.51,Credit Card,Completed
S00169,20230126,R02,T09,CH03,Third,3,42.32,0.0,0.0,126.96,Credit Card,Completed
S00170,20240306,R04,T09,CH03,Third,1,36.75,20.0,7.35,29.4,Credit Card,Completed
S00171,20240524,R11,T06,CH02,First,3,243.58,0.0,0.0,730.74,Instapay,Completed
S00172,20230111,R03,T07,CH03,Third,1,71.19,0.0,0.0,71.19,Credit Card,Completed
S00173,20240108,R02,T09,CH04,Third,2,41.4,0.0,0.0,82.8,Cash,Completed
S00174,20230701,R01,T09,CH03,Second,2,67.24,0.0,0.0,134.48,Cash,Completed
S00175,20240424,R09,T08,CH03,Second,2,78.13,0.0,0.0,156.26,,Completed
S00176,20230521,R14,T08,CH02,Third,1,33.77,5.0,1.69,32.08,Wallet,Completed
S00177,20240604,R02,T07,CH04,Second,1,141.57,0.0,0.0,141.57,Cash,Completed
S00178,20231009,R15,T10,CH03,Third,2,38.35,5.0,3.83,72.87,Credit Card,Completed
S00179,20241119,R12,T04,CH01,Second,1,231.08,0.0,0.0,231.08,Credit Card,Completed
S00180,20230417,R03,T07,CH01,Second,2,151.76,5.0,15.18,288.34,Instapay,Completed
S00181,20230901,R10,T10,CH02,Third,2,39.31,0.0,0.0,78.62,Wallet,Completed
S00182,20230326,R09,T08,CH04,Second,2,78.63,5.0,7.86,149.4,Cash,Completed
S00183,20241108,R12,T07,CH02,Second,1,153.41,5.0,7.67,145.74,Instapay,Completed
S00184,20240930,R12,T05,CH03,Second,1,165.97,5.0,8.3,157.67,Cash,Completed
S00185,20230718,R07,T10,CH04,Second,2,67.34,5.0,6.73,127.95,Cash,Completed
S00186,20240508,R01,T05,CH03,Third,1,56.69,,2.83,53.86,Credit Card,Completed
S00187,20240819,R08,T08,CH01,Third,2,36.88,0.0,0.0,73.76,Debit Card,Completed
S00188,20240206,R04,T09,CH03,Second,1,71.45,5.0,3.57,67.88,Credit Card,Completed
S00189,20240119,R01,T06,CH03,Third,1,53.05,0.0,0.0,53.05,Cash,Completed
S00190,20230709,R03,T06,CH04,Third,4,73.04,15.0,43.82,248.34,,Completed
S00191,20230308,R02,T04,CH01,Second,1,197.97,0.0,0.0,197.97,Instapay,Completed
S00192,20241017,R05,T08,CH05,Second,1,66.69,0.0,0.0,66.69,Cash,Completed
S00193,20241019,R03,T03,CH04,Second,3,212.76,5.0,31.91,606.37,Cash,Completed
S00194,20240413,R01,T04,CH03,Second,1,157.24,0.0,0.0,157.24,Cash,Completed
S00195,20230831,R01,T02,CH03,Second,1,206.72,15.0,31.01,175.71,Credit Card,Completed
S00196,20230908,R06,T08,CH01,Second,3,68.64,0.0,0.0,205.92,Credit Card,Completed
S00197,20240630,R03,T07,CH03,Second,2,145.71,10.0,29.14,262.28,Credit Card,Completed
S00198,20241016,R09,T08,CH03,Third,1,36.22,0.0,0.0,36.22,Cash,Completed
S00199,20241008,R07,T09,CH03,Third,2,34.08,5.0,3.41,64.75,,Completed
S00200,20240729,R06,T10,CH01,Third,1,34.75,5.0,1.74,33.01,Credit Card,Completed
S00201,20240421,R02,T06,CH04,Second,2,131.17,0.0,0.0,262.34,Cash,Completed
S00202,20230301,R09,T10,CH02,Second,2,74.79,0.0,0.0,149.58,Instapay,Completed
S00203,20230510,R06,T10,CH03,third,2,34.34,5.0,3.43,65.25,Cash,Completed
S00204,20241018,R02,T05,CH02,Second,1,142.33,0.0,0.0,142.33,Instapay,Completed
S00205,20240319,R05,T10,CH03,Third,1,34.84,0.0,0.0,34.84,Credit Card,Completed
S00206,20230106,R11,T04,CH03,Second,2,209.77,0.0,0.0,419.54,Credit Card,Completed
S00207,20230316,R02,T09,CH03,Third,2,45.12,,0.0,90.24,Cash,Completed
S00208,20240511,R01,T04,CH01,second,1,153.45,5.0,7.67,145.78,Credit Card,Completed
S00209,20230104,R15,T08,CH01,Third,3,38.17,0.0,0.0,0.0,Debit Card,Cancelled
S00210,20230509,R03,T03,CH03,Second,2,205.44,0.0,0.0,410.88,Cash,Completed
S00211,20240131,R04,T06,CH01,Third,3,52.97,10.0,15.89,143.02,Debit Card,Completed
S00212,20240605,R12,T03,CH03,Second,3,233.25,0.0,0.0,699.75,Credit Card,Completed
S00213,20240501,R13,T08,CH01,Third,1,34.36,0.0,0.0,34.36,Debit Card,Completed
S00214,20230629,R10,T05,CH01,Third,2,64.16,10.0,12.83,115.49,Debit Card,Completed
S00215,20240620,R11,T05,CH02,First,1,245.19,0.0,0.0,245.19,Instapay,Completed
S00216,20230707,R03,T06,CH01,Third,1,76.99,5.0,3.85,73.14,Instapay,Completed
S00217,20230824,R02,T08,CH05,Second,1,84.81,0.0,0.0,84.81,Cash,Completed
S00218,20240711,R09,T08,CH03,Second,4,74.0,0.0,0.0,0.0,Credit Card,Cancelled
S00219,20240428,R04,T10,CH04,Third,3,36.26,10.0,10.88,97.9,Cash,Completed
S00220,20240907,R06,T10,CH03,Third,2,32.18,0.0,0.0,64.36,Cash,Completed
S00221,20240506,R02,T09,CH01,Third,1,41.58,5.0,2.08,39.5,Credit Card,Completed
S00222,20240216,R05,T10,CH02,Third,2,34.06,5.0,3.41,64.71,Instapay,Completed
S00223,20230309,R11,T04,CH06,Second,1,204.57,0.0,0.0,204.57,Credit Card,Completed
S00224,20230923,R15,T09,CH06,Second,2,72.48,10.0,14.5,130.46,Debit Card,Completed
S00225,20230722,R03,T06,CH06,Third,1,76.72,0.0,0.0,76.72,Credit Card,Completed
S00226,20230710,R08,T08,CH06,Second,1,75.1,0.0,0.0,75.1,Credit Card,Completed
S00227,20241215,R15,T09,CH02,third,2,36.74,10.0,7.35,66.13,Instapay,Completed
S00228,20231014,R02,T08,CH06,Third,2,41.22,5.0,4.12,78.32,Credit Card,Completed
S00229,20241012,R02,T03,CH02,Second,2,196.62,15.0,58.99,334.25,Wallet,Completed
S00230,20240411,R02,T04,CH02,Second,1,203.14,20.0,40.63,162.51,Instapay,Completed
S00231,20240807,R07,T10,CH03,Third,3,32.27,20.0,19.36,77.45,Credit Card,Completed
S00232,20240103,R01,T03,CH06,Second,1,159.47,,31.89,127.58,Debit Card,Completed
S00233,20240223,R09,T09,CH04,Second,2,75.18,0.0,0.0,150.36,Cash,Completed
S00234,20231227,R11,T03,CH02,Second,2,224.35,0.0,0.0,448.7,Credit Card,Completed
S00235,20230608,R13,T09,CH03,Second,1,70.5,0.0,0.0,70.5,Cash,Completed
S00236,20240627,R02,T09,CH05,Third,1,43.98,,0.0,43.98,Cash,Completed
S00237,20230730,R02,T04,CH02,Second,4,-190.12,0.0,0.0,760.48,Debit Card,Completed
S00238,20230116,R04,T06,CH02,Third,1,57.08,0.0,0.0,57.08,Wallet,Completed
S00239,20240424,R05,T10,CH03,Third,3,34.99,0.0,0.0,104.97,Cash,Completed
S00240,20230524,R10,T05,CH01,Second,2,130.11,0.0,0.0,260.22,Debit Card,Completed
S00241,20241122,R07,T08,CH04,Third,2,33.66,0.0,0.0,0.0,Cash,Cancelled
S00242,20241203,R05,T10,CH05,Third,2,32.73,0.0,0.0,65.46,Cash,Completed
S00243,20241031,R06,T08,CH04,Third,2,34.17,0.0,0.0,68.34,Cash,Completed
S00244,20230925,R01,T09,CH03,Second,2,71.11,5.0,7.11,135.11,Cash,Completed
S00245,20230110,R06,T09,CH01,Second,1,67.4,20.0,13.48,53.92,Instapay,Completed
S00246,20241111,R04,T06,CH03,First,1,174.46,0.0,0.0,174.46,Credit Card,Completed
S00247,20231112,R11,T03,CH02,Second,2,212.31,,84.92,339.7,Credit Card,Completed
S00248,20241211,R08,T05,CH01,First,2,181.83,,0.0,363.66,Debit Card,Completed
S00249,20241209,R12,T05,CH01,Third,1,82.21,0.0,0.0,82.21,Instapay,Completed
S00250,20240911,R13,T09,CH03,Second,2,71.87,0.0,0.0,143.74,Cash,Completed
S00251,20230807,R14,T09,CH04,Second,1,65.57,10.0,6.56,59.01,Cash,Completed
S00252,20231007,R02,T04,CH03,Second,2,204.59,0.0,0.0,409.18,Cash,Completed
S00253,20240909,R06,T09,CH04,Second,3,66.78,0.0,0.0,0.0,Cash,Cancelled
S00254,20230819,R15,T09,CH02,Second,4,71.49,0.0,0.0,285.96,Wallet,Completed
S00255,20230517,R02,T07,CH03,Third,2,65.14,10.0,13.03,117.25,Cash,Completed
S00256,20240207,R03,T10,CH01,Third,1,47.99,0.0,0.0,47.99,Debit Card,Completed
S00257,20241118,R11,T03,CH03,First,1,363.34,5.0,18.17,345.17,Credit Card,Completed
S00258,20240608,R07,T10,CH03,Third,1,32.56,0.0,0.0,32.56,Cash,Completed
S00259,20240218,R07,T08,CH01,Third,1,32.05,0.0,0.0,32.05,Debit Card,Completed
S00260,20230312,R04,T09,CH03,Third,3,34.86,5.0,5.23,99.35,Credit Card,Completed
S00261,20240327,R01,T05,CH05,First,3,178.83,0.0,0.0,536.49,Cash,Completed
S00262,20241225,R11,T04,CH01,Second,2,216.53,0.0,0.0,433.06,Debit Card,Completed
S00263,20230420,R03,T09,CH02,Third,2,49.06,0.0,0.0,98.12,Instapay,Completed
S00264,20240112,R01,T04,CH06,Second,2,161.37,,16.14,306.6,Credit Card,Completed
S00265,20240930,R04,T08,CH03,Third,3,33.83,10.0,10.15,91.34,Credit Card,Completed
S00266,20240708,R02,T08,CH03,Second,1,85.82,0.0,0.0,85.82,Credit Card,Completed
S00267,20240609,R06,T09,CH01,Third,2,34.65,15.0,10.39,58.91,Instapay,Completed
S00268,20240613,R03,T09,CH06,Third,2,47.16,5.0,4.72,89.6,Debit Card,Completed
S00269,20230916,R01,T02,CH03,Second,2,201.01,5.0,20.1,381.92,Credit Card,Completed
S00270,20230806,R05,T10,CH01,Third,1,33.85,0.0,0.0,33.85,Credit Card,Completed
S00271,20240814,R01,T03,CH02,Second,2,158.12,0.0,0.0,316.24,Wallet,Completed
S00272,20240815,R03,T05,CH01,First,1,246.1,0.0,0.0,246.1,Instapay,Completed
S00273,20240922,R02,T04,CH04,Second,1,194.34,0.0,0.0,194.34,Cash,Completed
S00274,20241030,R08,T09,CH03,Third,3,36.64,0.0,0.0,109.92,Cash,Completed
S00275,20240108,R02,T09,CH03,Third,2,44.52,,8.9,80.14,Cash,Completed
S00276,20240102,R05,T09,CH03,Third,4,33.81,0.0,0.0,135.24,Cash,Completed
S00277,20240808,R03,T10,CH05,Third,2,45.33,10.0,9.07,81.59,Cash,Completed
S00278,20240429,R03,T04,CH03,second,2,207.45,0.0,0.0,414.9,Credit Card,Completed
S00279,20240612,R04,T09,CH03,Third,2,36.03,20.0,14.41,57.65,Cash,Completed
S00280,20240807,R02,T09,CH01,Third,1,41.31,0.0,0.0,41.31,Instapay,Completed
S00281,20241011,R06,T09,CH01,Third,2,33.57,0.0,0.0,67.14,Credit Card,Completed
S00282,20230830,R03,T05,CH04,Second,2,144.18,5.0,14.42,273.94,Cash,Completed
S00283,20230929,R07,T09,CH01,Third,1,34.22,,3.42,30.8,Instapay,Completed
S00284,20230309,R02,T06,CH06,First,2,229.73,0.0,0.0,459.46,Debit Card,Completed
S00285,20240224,R12,T03,CH04,Second,2,242.28,0.0,0.0,484.56,Cash,Completed
S00286,20230123,R12,T07,CH02,Third,1,76.71,0.0,0.0,76.71,Instapay,Completed
S00287,20231210,R06,T10,CH02,Third,2,33.01,0.0,0.0,66.02,Credit Card,Completed
S00288,20240128,R01,T08,CH05,Third,3,36.87,0.0,0.0,110.61,,Completed
S00289,20230802,R11,T06,CH03,third,1,74.24,0.0,0.0,74.24,Cash,Completed
S00290,20240306,R04,T08,CH03,Third,1,36.68,0.0,0.0,36.68,Cash,Completed
